author,comment,case_folded_comment
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!,tangkap & periksa bahliil !!!!!!!
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,wah bahlil main2 sama mentri kepercayaan prabowo.
@fathangaming6556,"Mari Kaya bersama , dengan senang hati mendengar hal itu dari MenKeu Purbaya langsung, semoga beliau di beri kesehatan, kekuatan dan kemudahan urusannya untuk masyarakat Indonesia 1:55","mari kaya bersama , dengan senang hati mendengar hal itu dari menkeu purbaya langsung, semoga beliau di beri kesehatan, kekuatan dan kemudahan urusannya untuk masyarakat indonesia 1:55"
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?","😅😅😅😅betul. kl byk kilang, kenapa nggak cukup minyak produksinya? impor utk dpt fee impor? niru persis kayak kasus impor daging sapi? komisi dibagi-bagi? alasan impor, gak cukup produksinya, tapi boong! blm penemuan sumber minyak di arun, aceh, itu terbesar di dunia! masih kurang fee impornya? subsidi bbm 30 trilyun, digedein jadi 37 trilyun. kemana 7 trilyun tsb?"
@ahmadnasir7286,Antrian di SPBU Ngantri 😂,antrian di spbu ngantri 😂
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha,klo over seharusnya bisa eksport bbm dong hahaha
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂,anda percaya goblin atau orang teknis 😂
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,over akting bukan over capacity. oper oper terus gak ada goal. rakyat kena finalti terus.
@AnakSingkong-oi6gb,Muka tuyul .mafia,muka tuyul .mafia
@raismone217,Waduh lagu lama nih...otakx,waduh lagu lama nih...otakx
@masjovi,🤣,🤣
@shellarevi5876,Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²
@mbahjosss3836,Kl gak impor gakada lahanbasah gaes😅,kl gak impor gakada lahanbasah gaes😅
@AgusSalim-xn1ul,"​ @retnayuli Hampir semua polanya sama, ...","​ @retnayuli hampir semua polanya sama, ..."
@nathanwidhiarso8586,"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.","​ @shellarevi5876 sepertinya itu jurus strategi ri1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini."
@warbotaow8385,Asli bahlil harus diganti karna impor impor terus,asli bahlil harus diganti karna impor impor terus
@Pertamax93,"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂","menteri ini berfikir gak pakai logika
tpi pakai duit😂"
@danangprabowo2741,​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...,​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...
@roromera7685,Negara Indonesia g maju2 bukan dari Rakyatnya trnyata tp Pejabat Ny sndiri yg menghambat Negara Indonesia g Maju2 😮,negara indonesia g maju2 bukan dari rakyatnya trnyata tp pejabat ny sndiri yg menghambat negara indonesia g maju2 😮
@upikharyanti7288,Karena Bahlil makelar importnya😂,karena bahlil makelar importnya😂
@jait227,"bahlil ASBUN,,","bahlil asbun,,"
@nazmiyoug7407,Bahlil lg stand up 😂😂😂,bahlil lg stand up 😂😂😂
@lakalakamnasi8432,Dukung Menkeu buat terobosan yg baru,dukung menkeu buat terobosan yg baru
@NanikSuciowati,Heran knpa menteri SEBODOH itu TDK DIRESUFLE oleh P Wowo,heran knpa menteri sebodoh itu tdk diresufle oleh p wowo
@Wagiso-us2yn,ya mending dibuat bancakan duitnya daripada utk bikin kilang..,ya mending dibuat bancakan duitnya daripada utk bikin kilang..
@Aku-kv3kb,Di dengkul😂😂😂,di dengkul😂😂😂
@Aku-kv3kb,Tuyul mbah lil😂😂,tuyul mbah lil😂😂
@hapsarinepramudyo4228,"Beli pertalite sore hari di.SPBU nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

Bener ngga sih kebijakan ini (pencerahaannya dong loer)","beli pertalite sore hari di.spbu nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

bener ngga sih kebijakan ini (pencerahaannya dong loer)"
@KarmanNoob,Makin aneh ajah penjelasan ESDM ini jadi bahan kecurigaan & tertawaan rakyat kecil😮,makin aneh ajah penjelasan esdm ini jadi bahan kecurigaan & tertawaan rakyat kecil😮
@RusdyBoy-k7w,"Saya heran orang  Jokowi ini  dari ijazah palsu  sampai kilang  Pertamina tidak berdasar data pakta   padahal baHlul  ini baru di ESDM   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok.","saya heran orang  jokowi ini  dari ijazah palsu  sampai kilang  pertamina tidak berdasar data pakta   padahal bahlul  ini baru di esdm   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok."
@bajahitam5476,Dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.,dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.
@biasmaylinka4234,​ @shellarevi5876  sepemikiran... kok masih di pertahankan,​ @shellarevi5876  sepemikiran... kok masih di pertahankan
@AsepSuryanto-zu2bp,Kalau over ngapain impor😅😅😅,kalau over ngapain impor😅😅😅
@DSA_VLOG93,Pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂,pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂
@cangkemrabies2008,tetep impor tadi crude oil bukan base oilnya,tetep impor tadi crude oil bukan base oilnya
@jefryjong4750,"😂😂😂😂, itulah kadang pejabat Konoha anggap rakyatnya ginlok..dan mudah dibohongi😢","😂😂😂😂, itulah kadang pejabat konoha anggap rakyatnya ginlok..dan mudah dibohongi😢"
@alofficial205,"Berharap Prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,Krn kl TDK secepatnya pecat yg ada Prabowo digulung sama anggota geng Solo!!!","berharap prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,krn kl tdk secepatnya pecat yg ada prabowo digulung sama anggota geng solo!!!"
@satisfied_dany,Minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti Singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi Amerika biar dapat harga murah.. sisa subsidi bisa Mereka caplok,minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi amerika biar dapat harga murah.. sisa subsidi bisa mereka caplok
@kcbelilas,"over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak","over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak"
@alitadnyana1218,CATAT PARTAINYA,catat partainya
@debujalanan7261,Jangan lupakan peran para WAKIL PARPOL yg   seharusnya mengawasi. Para WAKIL PARPOL sudah pasti kebagian UANG DIAM untuk pura-pura tidak tau.,jangan lupakan peran para wakil parpol yg   seharusnya mengawasi. para wakil parpol sudah pasti kebagian uang diam untuk pura-pura tidak tau.
@allenz-zy3,Menteri kebanggaan jokontolll😅😅😅😅,menteri kebanggaan jokontolll😅😅😅😅
@bakasboy4792,😂,😂
@ramasaid9915,Tuyul berkulit coklat,tuyul berkulit coklat
@rabbanichannel2461,Ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?,ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?
@ajidabumumtaz8849,Klo termul percaya ajah krn gk bisa rasional. Surplus ko malah import,klo termul percaya ajah krn gk bisa rasional. surplus ko malah import
@dreimarsch388,"Mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, Taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 Itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri.","mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri."
@NurfinLamuda,​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii,​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii
@abdulrasid3360,Menteri ESDM+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂,menteri esdm+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂
@adammarcelo0911,Knp presiden masih mempertahankan.....ada apa yaa ?😂,knp presiden masih mempertahankan.....ada apa yaa ?😂
@kaoskaosdistro,"Kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
Makanya import mulu","kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
makanya import mulu"
@suprianto9444,​ @NurfinLamuda kocak lu belain bahlil😂😂,​ @nurfinlamuda kocak lu belain bahlil😂😂
@takumi_8679,"Memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. Harusnya upgrade kilang","memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. harusnya upgrade kilang"
@pratamaramadhan8265,"cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk","cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk"
@yusnomi6370,Teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn,teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn
@irfanmaulanas6631,Dulu boneka sengkunl ada jokow sekarang ada plcoLo,dulu boneka sengkunl ada jokow sekarang ada plcolo
@ImsaGiya,Goblin beraksi 😅,goblin beraksi 😅
@luka123marj,Mafianya parpol itu. Bagi2 cuan...,mafianya parpol itu. bagi2 cuan...
@sekjenbatu,Itu tangan colek siapa..?,itu tangan colek siapa..?
@Russianroulette-rl6yl,"​ @shellarevi5876 
Bahlil ini Ketua Umum Golkar. Megawati nya Golkar lah.","​ @shellarevi5876 
bahlil ini ketua umum golkar. megawati nya golkar lah."
@Russianroulette-rl6yl,"​ @nathanwidhiarso8586 
Mana mungkin ngelemahin partai kuning. Bu Tatik Suharto  itu dari partai apa emangnya?","​ @nathanwidhiarso8586 
mana mungkin ngelemahin partai kuning. bu tatik suharto  itu dari partai apa emangnya?"
@MrHaplovan,"Kalau over kapasitas, mestinya bisa ekspor,
Tapi malah impor dngn alasan over demand

Lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong","kalau over kapasitas, mestinya bisa ekspor,
tapi malah impor dngn alasan over demand

lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong"
@brugmusic4411,otak pejabatnya bro yg over😂,otak pejabatnya bro yg over😂
@jamalel-rhajj8024,Jelas ini mah nongol tiap hari,jelas ini mah nongol tiap hari
@AdhieeBerewok,Betul,betul
@vivinur3779,Shell aja kosong kok bilang overcapacity batukmu kuwi,shell aja kosong kok bilang overcapacity batukmu kuwi
@dearestdi, @shellarevi5876 orangnya siapa dia…ga berani presidennya, @shellarevi5876 orangnya siapa dia…ga berani presidennya
@aryalifram9510,"Anjir, gua tiap mau beli dexlite di SPBU langganan,selalu kosong.
Diancok, mana udah jauh juah ke SPBU , eh kosong Mulu.","anjir, gua tiap mau beli dexlite di spbu langganan,selalu kosong.
diancok, mana udah jauh juah ke spbu , eh kosong mulu."
@jiilassa1986,Sudah beberapa ini hari di kota timika BBM langka. Antrian semua SPBU sangat panjang  skrng per tgl 08 Oktober 2025,sudah beberapa ini hari di kota timika bbm langka. antrian semua spbu sangat panjang  skrng per tgl 08 oktober 2025
@ekowaryono8099,"Bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai Golkar","bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai golkar"
@abah2474,"Overcapacity tapi impor masih tinggi, masih banyak ? Ini biasa mikir tidak ya sebelum bicara 🤔","overcapacity tapi impor masih tinggi, masih banyak ? ini biasa mikir tidak ya sebelum bicara 🤔"
@KlausBernston,Ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 ,ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 
@yuwonobasuki8651,"Yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas BBM-nya.
Dengerin tuuhh.....wahai Pertamina apa yg disampaikan oleh Menkeu-Purbaya.
Beliau bkn buzzer dan bukan politikus vs Bahlil.
Lihat aja faktanya.
Jangan muter2 aja Lil.","yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas bbm-nya.
dengerin tuuhh.....wahai pertamina apa yg disampaikan oleh menkeu-purbaya.
beliau bkn buzzer dan bukan politikus vs bahlil.
lihat aja faktanya.
jangan muter2 aja lil."
@firman_mustaqim,Dan harusnya juga murah kok mahal dan terus naik😂,dan harusnya juga murah kok mahal dan terus naik😂
@mustafa12-op5er,Sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢,sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢
@Mr_Prime265,Namanya juga BAHLUL,namanya juga bahlul
@mochhadikhilmi1617,Mentri titipan genk oslo,mentri titipan genk oslo
@deavindy5274,Goblin banyak bohong nya,goblin banyak bohong nya
@abubakr535,BUMN tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. Udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga Jalan,bumn tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga jalan
@Masaddurenkepel,"kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi Pbowo untuk memperlihatkan kinerja Bahlil sehingga terpojok. Pbowo terlihat sudah mulai menekan Bahlil lewat menteri baru nya, pak Menkeu Purbaya. yg berani senggol2 berbagai pihak. Pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini KLO menurut saya.","kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi pbowo untuk memperlihatkan kinerja bahlil sehingga terpojok. pbowo terlihat sudah mulai menekan bahlil lewat menteri baru nya, pak menkeu purbaya. yg berani senggol2 berbagai pihak. pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini klo menurut saya."
@aralmelintang_2,ngomong sama tembok lil,ngomong sama tembok lil
@archilleschannel9490,Mesti diganti bahlul biar menteri baru Purbaya jd sinkron demi kemajuan Indonesia🎉,mesti diganti bahlul biar menteri baru purbaya jd sinkron demi kemajuan indonesia🎉
@armansimanjuntak1709,"Betul,mmg agak Laen ya bro","betul,mmg agak laen ya bro"
@ajatzulkarnaen8866,"Mentri Yang gini jangan di reshuffle tp di keluarkan dari kabinet,","mentri yang gini jangan di reshuffle tp di keluarkan dari kabinet,"
@santrikalong6720,Over-capacity tapi banyak daerah yg susah minyak... Terlalu cerdas otaknya bah,over-capacity tapi banyak daerah yg susah minyak... terlalu cerdas otaknya bah
@Sadiman-e6p,"​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅","​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅"
@Aaaa1-71,​ @retnayuli seperti biasa menutupi kasus korpsi,​ @retnayuli seperti biasa menutupi kasus korpsi
@heryratno6169,"​ @shellarevi5876 tahu apa yg terjadi pada bu SriMul, menkeu lama? Nah, itu cara dan strategi Presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. Ingat, beliau mantan jenderal Kopassus. 😂 Tunggu saja finale 'konflik' kali ini.","​ @shellarevi5876 tahu apa yg terjadi pada bu srimul, menkeu lama? nah, itu cara dan strategi presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. ingat, beliau mantan jenderal kopassus. 😂 tunggu saja finale 'konflik' kali ini."
@secondnightfrombehind,Dia kira masih jaman bapaknya 😂😂😂,dia kira masih jaman bapaknya 😂😂😂
@ojandsquadny4305,​ @mikeconroe3328 mukanya persis goblin tp item😂,​ @mikeconroe3328 mukanya persis goblin tp item😂
@yakushik,Tuyul hitam ya gitu lah bro,tuyul hitam ya gitu lah bro
@iwenxdoier3740,PeA,pea
@nathanwidhiarso8586,​ @Russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.,​ @russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.
@NurAini-mv4wu,Betull bikin emosi saja ...muka hitam itu lagi,betull bikin emosi saja ...muka hitam itu lagi
@MfdtlHlmyyh,Emang Bahlil tuh ngga punya logika kan selama ini... Ngga diresuffle sih parah ni Bahlil... Golkar jadi posisi nggak masalah dah,emang bahlil tuh ngga punya logika kan selama ini... ngga diresuffle sih parah ni bahlil... golkar jadi posisi nggak masalah dah
@Senyum30621,MUAK LIAT SI BAHLUL INI,muak liat si bahlul ini
@hellogagas,Logika nya doktor UI 😅,logika nya doktor ui 😅
@winternotes,😂😂😂 iya bahlul mafia,😂😂😂 iya bahlul mafia
@eryantoja4702,logikanya di dengkul....😂,logikanya di dengkul....😂
@adityaindrapratama458,"Termul iti nggk masuk akal, logikanya sesat","termul iti nggk masuk akal, logikanya sesat"
@HerdiHidayat-kv4ci,😂😂,😂😂
@abdurrahmanfawazi6066,Itu dia ..kenapa harus impor?,itu dia ..kenapa harus impor?
@ragenah12,"Indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi","indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi"
@Hans27-b2q,Percaya smeagol ???,percaya smeagol ???
@thefachrial8115,"Jelas Dan terang, tinggal tangkap Pak Polisi & KPK, ini bisa buat titik masuk Pemberantasan Korupsi migas","jelas dan terang, tinggal tangkap pak polisi & kpk, ini bisa buat titik masuk pemberantasan korupsi migas"
@rojabfadillah6028,"Over capacity tapi solar antri, why","over capacity tapi solar antri, why"
@Semogaingat,"Bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?","bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?"
@nananghidayat8321,Mafia kelompok,mafia kelompok
@rafirnaschanel3219,Byek sekelas Mentri kita jawabannya kayak anak smp yg masih butuh arahan . Mending jawaban anak SMA pak jelas. C....k,byek sekelas mentri kita jawabannya kayak anak smp yg masih butuh arahan . mending jawaban anak sma pak jelas. c....k
@ekasyahmomon,Dan lucunya mafia nya partai politik kan 😅,dan lucunya mafia nya partai politik kan 😅
@kamudalandax4494,"Selain impor, juga dioplos ethanol 🤣🤣","selain impor, juga dioplos ethanol 🤣🤣"
@akhmadsalim915,Mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣,mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣
@Agumon44,"Overcapacity tapi BBM dibanyak tempat langka dan sulit stoknya, tolonglah lah ini Bahlil peninggalan Jokowi hukum mati menyusahkan rakyat indonesia","overcapacity tapi bbm dibanyak tempat langka dan sulit stoknya, tolonglah lah ini bahlil peninggalan jokowi hukum mati menyusahkan rakyat indonesia"
@rizquna8783,Paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂,paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂
@bajiNdoel,"Suruh dia bilang ""Saya malas pak, enak import ga susah"" 🎉","suruh dia bilang ""saya malas pak, enak import ga susah"" 🎉"
@rheynaldyrama9978,Ada udang di balik bakwan nih,ada udang di balik bakwan nih
@alejandronadfa,"bahlil tak ada logika, itulah mengapa perlunya IPK yang tinggi 😂😂","bahlil tak ada logika, itulah mengapa perlunya ipk yang tinggi 😂😂"
@imamdepoair5458,Over kapasitas koq masih impor BBM?!,over kapasitas koq masih impor bbm?!
@adeevawulandari854,Barusan sya mau komen gini. 🤣😂👍,barusan sya mau komen gini. 🤣😂👍
@JamiAddin-x4d,​ @AnakSingkong-oi6gb 😂,​ @anaksingkong-oi6gb 😂
@waangkarajo,Mungkin sudah kontrak seumur hidup dengan singapura… 🤣🤣🤣🤣,mungkin sudah kontrak seumur hidup dengan singapura… 🤣🤣🤣🤣
@CepiCepi-q1b,Mafia..takut kehilangan bisnis nya..ngeriii permainan nya..mafia di singapore jadi broker( calo) utk import ke Indonesia..,mafia..takut kehilangan bisnis nya..ngeriii permainan nya..mafia di singapore jadi broker( calo) utk import ke indonesia..
@ilhamnuansa9382,"logika bahlil ga jalan, sengaja biar bikin kaya mafia minya😂","logika bahlil ga jalan, sengaja biar bikin kaya mafia minya😂"
@alwaysepicapik,"wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta... ehhh sekarang abis semua dimana mana...
sekarang ane tau sebabnya 
etanol ternyata ngiket air jadi motor berebet... petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol.. 
ngaku rugi gaji selangit ditambah bonus aneh aneh😂","wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta... ehhh sekarang abis semua dimana mana...
sekarang ane tau sebabnya 
etanol ternyata ngiket air jadi motor berebet... petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol.. 
ngaku rugi gaji selangit ditambah bonus aneh aneh😂"
