author,comment,clean_comment,normalized_comment
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?",jebolan itb lawan jebolan yg kampusnya nggak ada di gogle ayo rskyat siapa yg hebat,jebolan itb lawan jebolan yang kampusnya tidak ada di gogle ayo rskyat siapa yang hebat
@ShuckryAmien,"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,.",semenjak zaman pak soeharto tidak satupun sumur minyak dan kilang yang di bangun ada apa padahal perkara sepele mengurus hal seperti itu,semenjak zaman pak soeharto tidak satupun sumur minyak dan kilang yang di bangun ada apa padahal perkara sepele mengurus hal seperti itu
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍",menkeu dulu berjulukan ratu pajak pencekik rakyat jelata menkeu sekarang jadi pahlawan rakyat lawan politikus gelap,menkeu dulu berjulukan ratu pajak pencekik rakyat jelata menkeu sekarang jadi pahlawan rakyat lawan politikus gelap
@AW-zu4kk,"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98",maaf dana nya abis di pake korupsi ngak bangun kilang sejak tahun 98,maaf dana nya abis di pake korupsi ngak bangun kilang sejak tahun 98
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!,tangkap periksa bahliil,tangkap periksa bahliil
@drumsetmusician,"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉",sebentar lagi mau di bangun kok dalam mimpi kali yeee,sebentar lagi mau di bangun kok dalam mimpi kali yeee
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!",ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka lah ini nggak ngapa2in kagak bisa bangun kilang,ukraina saja yang lgi perang bisa bangun ulang kilang minyak mereka lah ini tidak ngapa2in tidak bisa bangun kilang
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,wah bahlil main2 sama mentri kepercayaan prabowo,wah bahlil main2 sama mentri kepercayaan prabowo
@SaveroEro-l2k,"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...",kita ga kekurangan orang pinter cuma kerkurangan hati nurani,kita tidak kekurangan orang pinter hanya kerkurangan hati nurani
@syahruljailani9507,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,gila dr tahun 98 dr sini gue paham betapa murahnya harusnya harga bensin namun penjahat disektor tersebutlah yg bikin jadi mahal,gila dari tahun 98 dari sini saya paham betapa murahnya harusnya harga bensin namun penjahat disektor tersebutlah yang bikin jadi mahal
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?",betul kl byk kilang kenapa nggak cukup minyak produksinya impor utk dpt fee impor niru persis kayak kasus impor daging sapi komisi dibagi bagi alasan impor gak cukup produksinya tapi boong blm penemuan sumber minyak di arun aceh itu terbesar di dunia masih kurang fee impornya subsidi bbm 30 trilyun digedein jadi 37 trilyun kemana 7 trilyun tsb,betul kl byk kilang kenapa tidak cukup minyak produksinya impor untuk dpt fee impor niru persis kayak kasus impor daging sapi komisi dibagi bagi alasan impor gak cukup produksinya tapi boong belum penemuan sumber minyak di arun aceh itu terbesar di dunia masih kurang fee impornya subsidi bbm 30 trilyun digedein jadi 37 trilyun kemana 7 trilyun tsb
@ahmadnasir7286,Antrian di SPBU Ngantri 😂,antrian di spbu ngantri,antrian di spbu ngantri
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha,klo over seharusnya bisa eksport bbm dong hahaha,klo over seharusnya bisa eksport bbm dong hahaha
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂,anda percaya goblin atau orang teknis,anda percaya goblin atau orang teknis
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,over akting bukan over capacity oper oper terus gak ada goal rakyat kena finalti terus,over akting bukan over capacity oper oper terus gak ada goal rakyat kena finalti terus
@AnakSingkong-oi6gb,Muka tuyul .mafia,muka tuyul mafia,muka tuyul mafia
@raismone217,Waduh lagu lama nih...otakx,waduh lagu lama nih otakx,waduh lagu lama ini otakx
@masjovi,🤣,,
@shellarevi5876,Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener,bener banget heran apa sii yang buat pak prabowo masih mempertahankan itu org padahal banyak orang indonesia yang lebih pinter dan yang jelas jujur dan mau bekerja bener
@mbahjosss3836,Kl gak impor gakada lahanbasah gaes😅,kl gak impor gakada lahanbasah gaes,kl gak impor gakada lahanbasah gaes
@AgusSalim-xn1ul,"​ @retnayuli Hampir semua polanya sama, ...",hampir semua polanya sama,hampir semua polanya sama
@nathanwidhiarso8586,"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.",sepertinya itu jurus strategi ri1 untuk melemahkan partai kuning maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas maju terus pak prabowo singkirkan antek2 partai yang merusak negeri ini,sepertinya itu jurus strategi ri1 untuk melemahkan partai kuning maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas maju terus pak prabowo singkirkan antek2 partai yang merusak negeri ini
@warbotaow8385,Asli bahlil harus diganti karna impor impor terus,asli bahlil harus diganti karna impor impor terus,asli bahlil harus diganti karena impor impor terus
@Pertamax93,"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂",menteri ini berfikir gak pakai logika tpi pakai duit,menteri ini berfikir gak pakai logika tapi pakai duit
@danangprabowo2741,​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...,terkadang masalah itu tidak harus dihilangkan biarkan tetap ada supaya bisa kita observasi cara kerjanya,terkadang masalah itu tidak harus dihilangkan biarkan tetap ada supaya bisa kita observasi cara kerjanya
@roromera7685,Negara Indonesia g maju2 bukan dari Rakyatnya trnyata tp Pejabat Ny sndiri yg menghambat Negara Indonesia g Maju2 😮,negara indonesia g maju2 bukan dari rakyatnya trnyata tp pejabat ny sndiri yg menghambat negara indonesia g maju2,negara indonesia g maju2 bukan dari rakyatnya trnyata tapi pejabat ny sndiri yang menghambat negara indonesia g maju2
@upikharyanti7288,Karena Bahlil makelar importnya😂,karena bahlil makelar importnya,karena bahlil makelar importnya
@jait227,"bahlil ASBUN,,",bahlil asbun,bahlil asbun
@nazmiyoug7407,Bahlil lg stand up 😂😂😂,bahlil lg stand up,bahlil lg stand up
@lakalakamnasi8432,Dukung Menkeu buat terobosan yg baru,dukung menkeu buat terobosan yg baru,dukung menkeu buat terobosan yang baru
@NanikSuciowati,Heran knpa menteri SEBODOH itu TDK DIRESUFLE oleh P Wowo,heran knpa menteri sebodoh itu tdk diresufle oleh p wowo,heran knpa menteri sebodoh itu tdk diresufle oleh p wowo
@Wagiso-us2yn,ya mending dibuat bancakan duitnya daripada utk bikin kilang..,ya mending dibuat bancakan duitnya daripada utk bikin kilang,ya mending dibuat bancakan duitnya daripada untuk bikin kilang
@Aku-kv3kb,Di dengkul😂😂😂,di dengkul,di dengkul
@Aku-kv3kb,Tuyul mbah lil😂😂,tuyul mbah lil,tuyul mbah lil
@hapsarinepramudyo4228,"Beli pertalite sore hari di.SPBU nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

Bener ngga sih kebijakan ini (pencerahaannya dong loer)",beli pertalite sore hari di spbu nihil kata petugas pertalite tersedia di pagi hari hingga siang bener ngga sih kebijakan ini pencerahaannya dong loer,beli pertalite sore hari di spbu nihil kata petugas pertalite tersedia di pagi hari hingga siang bener tidak sih kebijakan ini pencerahaannya dong loer
@KarmanNoob,Makin aneh ajah penjelasan ESDM ini jadi bahan kecurigaan & tertawaan rakyat kecil😮,makin aneh ajah penjelasan esdm ini jadi bahan kecurigaan tertawaan rakyat kecil,makin aneh ajah penjelasan esdm ini jadi bahan kecurigaan tertawaan rakyat kecil
@RusdyBoy-k7w,"Saya heran orang  Jokowi ini  dari ijazah palsu  sampai kilang  Pertamina tidak berdasar data pakta   padahal baHlul  ini baru di ESDM   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok.",saya heran orang jokowi ini dari ijazah palsu sampai kilang pertamina tidak berdasar data pakta padahal bahlul ini baru di esdm berapa bulan pak purbaya jujur berkata pakta sesuwai yg di sampaikan pak haok,saya heran orang jokowi ini dari ijazah palsu sampai kilang pertamina tidak berdasar data pakta padahal bahlul ini baru di esdm berapa bulan pak purbaya jujur berkata pakta sesuwai yang di sampaikan pak haok
@bajahitam5476,Dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.,dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat,dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat
@biasmaylinka4234,​ @shellarevi5876  sepemikiran... kok masih di pertahankan,sepemikiran kok masih di pertahankan,sepemikiran kok masih di pertahankan
@AsepSuryanto-zu2bp,Kalau over ngapain impor😅😅😅,kalau over ngapain impor,kalau over ngapain impor
@DSA_VLOG93,Pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂,pak masyarakat sudah cerdas sekarang hati hati dalam berstatment,pak masyarakat sudah cerdas sekarang hati hati dalam berstatment
@cangkemrabies2008,tetep impor tadi crude oil bukan base oilnya,tetep impor tadi crude oil bukan base oilnya,tetep impor tadi crude oil bukan base oilnya
@jefryjong4750,"😂😂😂😂, itulah kadang pejabat Konoha anggap rakyatnya ginlok..dan mudah dibohongi😢",itulah kadang pejabat konoha anggap rakyatnya ginlok dan mudah dibohongi,itulah kadang pejabat konoha anggap rakyatnya ginlok dan mudah dibohongi
@alofficial205,"Berharap Prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,Krn kl TDK secepatnya pecat yg ada Prabowo digulung sama anggota geng Solo!!!",berharap prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat krn kl tdk secepatnya pecat yg ada prabowo digulung sama anggota geng solo,berharap prabowo segera pecat menteri2nya titipannya geng solo yang kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat karena kl tdk secepatnya pecat yang ada prabowo digulung sama anggota geng solo
@satisfied_dany,Minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti Singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi Amerika biar dapat harga murah.. sisa subsidi bisa Mereka caplok,minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti singapura biar bisa di mark up harganya atau ambil dari negara yg disanksi amerika biar dapat harga murah sisa subsidi bisa mereka caplok,minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti singapura biar bisa di mark up harganya atau ambil dari negara yang disanksi amerika biar dapat harga murah sisa subsidi bisa mereka caplok
@kcbelilas,"over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak",over capacity riau minyak diesel aja susah pdhl atas baah isi a minyak,over capacity riau minyak diesel saja susah pdhl atas baah isi a minyak
@alitadnyana1218,CATAT PARTAINYA,catat partainya,catat partainya
@debujalanan7261,Jangan lupakan peran para WAKIL PARPOL yg   seharusnya mengawasi. Para WAKIL PARPOL sudah pasti kebagian UANG DIAM untuk pura-pura tidak tau.,jangan lupakan peran para wakil parpol yg seharusnya mengawasi para wakil parpol sudah pasti kebagian uang diam untuk pura pura tidak tau,jangan lupakan peran para wakil parpol yang seharusnya mengawasi para wakil parpol sudah pasti kebagian uang diam untuk pura pura tidak tau
@allenz-zy3,Menteri kebanggaan jokontolll😅😅😅😅,menteri kebanggaan jokontolll,menteri kebanggaan jokontolll
@bakasboy4792,😂,,
@ramasaid9915,Tuyul berkulit coklat,tuyul berkulit coklat,tuyul berkulit coklat
@rabbanichannel2461,Ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?,ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk,ayo tebak siapa kira2 mentri sebentar lagi yang akan ditangkap kpk
@ajidabumumtaz8849,Klo termul percaya ajah krn gk bisa rasional. Surplus ko malah import,klo termul percaya ajah krn gk bisa rasional surplus ko malah import,klo termul percaya ajah karena tidak bisa rasional surplus ko malah import
@dreimarsch388,"Mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, Taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 Itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri.",mereka kerja sama sama pihak luar jual keluar lalu di impor balik taulah itu hanya permainan di kepala mereka hanya keuntungan pribadi itu hanya pembelian hantu bro itu hanya permainan itu barang milik pertamina sendiri,mereka kerja sama sama pihak luar jual keluar lalu di impor balik taulah itu hanya permainan di kepala mereka hanya keuntungan pribadi itu hanya pembelian hantu bro itu hanya permainan itu barang milik pertamina sendiri
@NurfinLamuda,​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii,klo orang teknis justru nyurinya lebih rapiiii,klo orang teknis justru nyurinya lebih rapiiii
@abdulrasid3360,Menteri ESDM+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂,menteri esdm pejabat nya pertamina pejabat nya under capacity semua,menteri esdm pejabat nya pertamina pejabat nya under capacity semua
@adammarcelo0911,Knp presiden masih mempertahankan.....ada apa yaa ?😂,knp presiden masih mempertahankan ada apa yaa,kenapa presiden masih mempertahankan ada apa yaa
@kaoskaosdistro,"Kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
Makanya import mulu",kilangnya penuh maksudnya cm dpt 1 1juta pdhl sehari butuh 1 6 makanya import mulu,kilangnya penuh maksudnya cuma dpt 1 1juta pdhl sehari butuh 1 6 makanya import mulu
@suprianto9444,​ @NurfinLamuda kocak lu belain bahlil😂😂,kocak lu belain bahlil,kocak kamu belain bahlil
@takumi_8679,"Memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. Harusnya upgrade kilang",memang overcapacity tp mayoritas kilang teknologi jadul jadi udah ga bisa produksi bbm berkualitas tinggi otomatis impor ke singapua yg kilangnya lebih modern harusnya upgrade kilang,memang overcapacity tapi mayoritas kilang teknologi jadul jadi sudah tidak bisa produksi bbm berkualitas tinggi otomatis impor ke singapua yang kilangnya lebih modern harusnya upgrade kilang
@pratamaramadhan8265,"cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk",cuan mereka dari impor bang jadi gamau nambah kilang wkwkwk,cuan mereka dari impor bang jadi gamau nambah kilang wkwkwk
@yusnomi6370,Teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn,teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7 8 thn,teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7 8 thn
@irfanmaulanas6631,Dulu boneka sengkunl ada jokow sekarang ada plcoLo,dulu boneka sengkunl ada jokow sekarang ada plcolo,dulu boneka sengkunl ada jokow sekarang ada plcolo
@ImsaGiya,Goblin beraksi 😅,goblin beraksi,goblin beraksi
@luka123marj,Mafianya parpol itu. Bagi2 cuan...,mafianya parpol itu bagi2 cuan,mafianya parpol itu bagi2 cuan
@sekjenbatu,Itu tangan colek siapa..?,itu tangan colek siapa,itu tangan colek siapa
@Russianroulette-rl6yl,"​ @shellarevi5876 
Bahlil ini Ketua Umum Golkar. Megawati nya Golkar lah.",bahlil ini ketua umum golkar megawati nya golkar lah,bahlil ini ketua umum golkar megawati nya golkar lah
@Russianroulette-rl6yl,"​ @nathanwidhiarso8586 
Mana mungkin ngelemahin partai kuning. Bu Tatik Suharto  itu dari partai apa emangnya?",mana mungkin ngelemahin partai kuning bu tatik suharto itu dari partai apa emangnya,mana mungkin ngelemahin partai kuning bu tatik suharto itu dari partai apa emangnya
@MrHaplovan,"Kalau over kapasitas, mestinya bisa ekspor,
Tapi malah impor dngn alasan over demand

Lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong",kalau over kapasitas mestinya bisa ekspor tapi malah impor dngn alasan over demand lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong,kalau over kapasitas mestinya bisa ekspor tapi malah impor dngn alasan over demand lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong
@brugmusic4411,otak pejabatnya bro yg over😂,otak pejabatnya bro yg over,otak pejabatnya bro yang over
@jamalel-rhajj8024,Jelas ini mah nongol tiap hari,jelas ini mah nongol tiap hari,jelas ini mah nongol tiap hari
@AdhieeBerewok,Betul,betul,betul
@vivinur3779,Shell aja kosong kok bilang overcapacity batukmu kuwi,shell aja kosong kok bilang overcapacity batukmu kuwi,shell saja kosong kok bilang overcapacity batukmu kuwi
@dearestdi, @shellarevi5876 orangnya siapa dia…ga berani presidennya,orangnya siapa dia ga berani presidennya,orangnya siapa dia tidak berani presidennya
@aryalifram9510,"Anjir, gua tiap mau beli dexlite di SPBU langganan,selalu kosong.
Diancok, mana udah jauh juah ke SPBU , eh kosong Mulu.",anjir gua tiap mau beli dexlite di spbu langganan selalu kosong diancok mana udah jauh juah ke spbu eh kosong mulu,anjir gua tiap mau beli dexlite di spbu langganan selalu kosong diancok mana sudah jauh juah ke spbu eh kosong mulu
@jiilassa1986,Sudah beberapa ini hari di kota timika BBM langka. Antrian semua SPBU sangat panjang  skrng per tgl 08 Oktober 2025,sudah beberapa ini hari di kota timika bbm langka antrian semua spbu sangat panjang skrng per tgl 08 oktober 2025,sudah beberapa ini hari di kota timika bbm langka antrian semua spbu sangat panjang skrng per tgl 08 oktober 2025
@ekowaryono8099,"Bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai Golkar",bahlil genk solo paling vokal di pemerintah sayang nya dia ketua partai golkar,bahlil genk solo paling vokal di pemerintah sayang nya dia ketua partai golkar
@abah2474,"Overcapacity tapi impor masih tinggi, masih banyak ? Ini biasa mikir tidak ya sebelum bicara 🤔",overcapacity tapi impor masih tinggi masih banyak ini biasa mikir tidak ya sebelum bicara,overcapacity tapi impor masih tinggi masih banyak ini biasa mikir tidak ya sebelum bicara
@KlausBernston,Ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 ,ga ada dia ga bs jd pahlawan di siang bolong dong si wowo,tidak ada dia tidak bs jadi pahlawan di siang bolong dong si wowo
@yuwonobasuki8651,"Yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas BBM-nya.
Dengerin tuuhh.....wahai Pertamina apa yg disampaikan oleh Menkeu-Purbaya.
Beliau bkn buzzer dan bukan politikus vs Bahlil.
Lihat aja faktanya.
Jangan muter2 aja Lil.",yaitu dia banyak orang o on korup di pertama blm lagi kualitas bbm nya dengerin tuuhh wahai pertamina apa yg disampaikan oleh menkeu purbaya beliau bkn buzzer dan bukan politikus vs bahlil lihat aja faktanya jangan muter2 aja lil,yaitu dia banyak orang o on korup di pertama belum lagi kualitas bbm nya dengerin tuuhh wahai pertamina apa yang disampaikan oleh menkeu purbaya beliau bkn buzzer dan bukan politikus vs bahlil lihat saja faktanya jangan muter2 saja lil
@firman_mustaqim,Dan harusnya juga murah kok mahal dan terus naik😂,dan harusnya juga murah kok mahal dan terus naik,dan harusnya juga murah kok mahal dan terus naik
@mustafa12-op5er,Sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢,sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja,sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja
@Mr_Prime265,Namanya juga BAHLUL,namanya juga bahlul,namanya juga bahlul
@mochhadikhilmi1617,Mentri titipan genk oslo,mentri titipan genk oslo,mentri titipan genk oslo
@deavindy5274,Goblin banyak bohong nya,goblin banyak bohong nya,goblin banyak bohong nya
@abubakr535,BUMN tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. Udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga Jalan,bumn tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga jalan,bumn tuh gak perlu untung asal bisa memberikan barang komoditas yang terjangkau buat rakyat sudah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga jalan
@Masaddurenkepel,"kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi Pbowo untuk memperlihatkan kinerja Bahlil sehingga terpojok. Pbowo terlihat sudah mulai menekan Bahlil lewat menteri baru nya, pak Menkeu Purbaya. yg berani senggol2 berbagai pihak. Pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini KLO menurut saya.",kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat atau ini memang strategi pbowo untuk memperlihatkan kinerja bahlil sehingga terpojok pbowo terlihat sudah mulai menekan bahlil lewat menteri baru nya pak menkeu purbaya yg berani senggol2 berbagai pihak pbowo nampaknya tidak ingin pakai tangan langsung tp pinjam tangan org lain strategi sih ini klo menurut saya,kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat atau ini memang strategi pbowo untuk memperlihatkan kinerja bahlil sehingga terpojok pbowo terlihat sudah mulai menekan bahlil lewat menteri baru nya pak menkeu purbaya yang berani senggol2 berbagai pihak pbowo nampaknya tidak ingin pakai tangan langsung tapi pinjam tangan org lain strategi sih ini klo menurut saya
@aralmelintang_2,ngomong sama tembok lil,ngomong sama tembok lil,ngomong sama tembok lil
@archilleschannel9490,Mesti diganti bahlul biar menteri baru Purbaya jd sinkron demi kemajuan Indonesia🎉,mesti diganti bahlul biar menteri baru purbaya jd sinkron demi kemajuan indonesia,mesti diganti bahlul biar menteri baru purbaya jadi sinkron demi kemajuan indonesia
@armansimanjuntak1709,"Betul,mmg agak Laen ya bro",betul mmg agak laen ya bro,betul mmg agak laen ya bro
@ajatzulkarnaen8866,"Mentri Yang gini jangan di reshuffle tp di keluarkan dari kabinet,",mentri yang gini jangan di reshuffle tp di keluarkan dari kabinet,mentri yang gini jangan di reshuffle tapi di keluarkan dari kabinet
@santrikalong6720,Over-capacity tapi banyak daerah yg susah minyak... Terlalu cerdas otaknya bah,over capacity tapi banyak daerah yg susah minyak terlalu cerdas otaknya bah,over capacity tapi banyak daerah yang susah minyak terlalu cerdas otaknya bah
@Sadiman-e6p,"​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅",emang kita eksport k singapura tp minyak mentahnya nah kita belinya dr mereka yg udh mateng hebat kan negara kita,emang kita eksport k singapura tapi minyak mentahnya nah kita belinya dari mereka yang sudah mateng hebat kan negara kita
@Aaaa1-71,​ @retnayuli seperti biasa menutupi kasus korpsi,seperti biasa menutupi kasus korpsi,seperti biasa menutupi kasus korpsi
