author,comment,clean_comment,tokens,bigrams
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?","jebolan itb lawan jebolan yg kampusnya nggak ada di gogle,ayo rskyat!!! siapa yg hebat?","['jebolan', 'itb', 'lawan', 'jebolan', 'yg', 'kampusnya', 'nggak', 'ada', 'di', 'gogle', ',', 'ayo', 'rskyat', '!', '!', '!', 'siapa', 'yg', 'hebat', '?']","[('jebolan', 'itb'), ('itb', 'lawan'), ('lawan', 'jebolan'), ('jebolan', 'yg'), ('yg', 'kampusnya'), ('kampusnya', 'nggak'), ('nggak', 'ada'), ('ada', 'di'), ('di', 'gogle'), ('gogle', ','), (',', 'ayo'), ('ayo', 'rskyat'), ('rskyat', '!'), ('!', '!'), ('!', '!'), ('!', 'siapa'), ('siapa', 'yg'), ('yg', 'hebat'), ('hebat', '?')]"
@ShuckryAmien,"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,.","semenjak zaman pak soeharto tidak satupun sumur minyak dan kilang yang di bangun.  ada apa?????????
padahal perkara sepele mengurus hal seperti itu,.","['semenjak', 'zaman', 'pak', 'soeharto', 'tidak', 'satupun', 'sumur', 'minyak', 'dan', 'kilang', 'yang', 'di', 'bangun', '.', 'ada', 'apa', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'padahal', 'perkara', 'sepele', 'mengurus', 'hal', 'seperti', 'itu', ',', '.']","[('semenjak', 'zaman'), ('zaman', 'pak'), ('pak', 'soeharto'), ('soeharto', 'tidak'), ('tidak', 'satupun'), ('satupun', 'sumur'), ('sumur', 'minyak'), ('minyak', 'dan'), ('dan', 'kilang'), ('kilang', 'yang'), ('yang', 'di'), ('di', 'bangun'), ('bangun', '.'), ('.', 'ada'), ('ada', 'apa'), ('apa', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', '?'), ('?', 'padahal'), ('padahal', 'perkara'), ('perkara', 'sepele'), ('sepele', 'mengurus'), ('mengurus', 'hal'), ('hal', 'seperti'), ('seperti', 'itu'), ('itu', ','), (',', '.')]"
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍","menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍","['menkeu', 'dulu', 'berjulukan', 'ratu', 'pajak', ',', 'pencekik', 'rakyat', 'jelata', '.', 'menkeu', 'sekarang', ',', 'jadi', 'pahlawan', 'rakyat', ',', 'lawan', '``', 'politikus', 'gelap', ""''"", '.', '👍']","[('menkeu', 'dulu'), ('dulu', 'berjulukan'), ('berjulukan', 'ratu'), ('ratu', 'pajak'), ('pajak', ','), (',', 'pencekik'), ('pencekik', 'rakyat'), ('rakyat', 'jelata'), ('jelata', '.'), ('.', 'menkeu'), ('menkeu', 'sekarang'), ('sekarang', ','), (',', 'jadi'), ('jadi', 'pahlawan'), ('pahlawan', 'rakyat'), ('rakyat', ','), (',', 'lawan'), ('lawan', '``'), ('``', 'politikus'), ('politikus', 'gelap'), ('gelap', ""''""), (""''"", '.'), ('.', '👍')]"
@AW-zu4kk,"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98","maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98","['maaf', 'dana', 'nya', 'abis', 'di', 'pake', 'korupsi', ',', 'ngak', 'bangun', 'kilang', 'sejak', 'tahun', '98']","[('maaf', 'dana'), ('dana', 'nya'), ('nya', 'abis'), ('abis', 'di'), ('di', 'pake'), ('pake', 'korupsi'), ('korupsi', ','), (',', 'ngak'), ('ngak', 'bangun'), ('bangun', 'kilang'), ('kilang', 'sejak'), ('sejak', 'tahun'), ('tahun', '98')]"
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!,tangkap & periksa bahliil !!!!!!!,"['tangkap', '&', 'periksa', 'bahliil', '!', '!', '!', '!', '!', '!', '!']","[('tangkap', '&'), ('&', 'periksa'), ('periksa', 'bahliil'), ('bahliil', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!')]"
@drumsetmusician,"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉","""sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉","['``', 'sebentar', 'lagi', 'mau', 'di', 'bangun', 'kok', '...', ""''"", '.....', 'dalam', 'mimpi', 'kali', 'yeee😅🎉']","[('``', 'sebentar'), ('sebentar', 'lagi'), ('lagi', 'mau'), ('mau', 'di'), ('di', 'bangun'), ('bangun', 'kok'), ('kok', '...'), ('...', ""''""), (""''"", '.....'), ('.....', 'dalam'), ('dalam', 'mimpi'), ('mimpi', 'kali'), ('kali', 'yeee😅🎉')]"
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!","ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!","['ukraina', 'aja', 'yg', 'lgi', 'perang', 'bisa', 'bangun', 'ulang', 'kilang', 'minyak', 'mereka', ',', 'lah', 'ini', 'nggak', 'ngapa2in', 'kagak', 'bisa', 'bangun', 'kilang', '!', '!', '!']","[('ukraina', 'aja'), ('aja', 'yg'), ('yg', 'lgi'), ('lgi', 'perang'), ('perang', 'bisa'), ('bisa', 'bangun'), ('bangun', 'ulang'), ('ulang', 'kilang'), ('kilang', 'minyak'), ('minyak', 'mereka'), ('mereka', ','), (',', 'lah'), ('lah', 'ini'), ('ini', 'nggak'), ('nggak', 'ngapa2in'), ('ngapa2in', 'kagak'), ('kagak', 'bisa'), ('bisa', 'bangun'), ('bangun', 'kilang'), ('kilang', '!'), ('!', '!'), ('!', '!')]"
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,wah bahlil main2 sama mentri kepercayaan prabowo.,"['wah', 'bahlil', 'main2', 'sama', 'mentri', 'kepercayaan', 'prabowo', '.']","[('wah', 'bahlil'), ('bahlil', 'main2'), ('main2', 'sama'), ('sama', 'mentri'), ('mentri', 'kepercayaan'), ('kepercayaan', 'prabowo'), ('prabowo', '.')]"
@SaveroEro-l2k,"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...","kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...","['kita', 'ga', 'kekurangan', 'orang', 'pinter', ',', 'cuma', 'kerkurangan', 'hati', 'nurani', '...']","[('kita', 'ga'), ('ga', 'kekurangan'), ('kekurangan', 'orang'), ('orang', 'pinter'), ('pinter', ','), (',', 'cuma'), ('cuma', 'kerkurangan'), ('kerkurangan', 'hati'), ('hati', 'nurani'), ('nurani', '...')]"
@syahruljailani9507,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,"['gila', 'dr', 'tahun', '98', '...', 'dr', 'sini', 'gue', 'paham', 'betapa', 'murahnya', 'harusnya', 'harga', 'bensin', '...', 'namun', 'penjahat', 'disektor', 'tersebutlah', 'yg', 'bikin', 'jadi', 'mahal']","[('gila', 'dr'), ('dr', 'tahun'), ('tahun', '98'), ('98', '...'), ('...', 'dr'), ('dr', 'sini'), ('sini', 'gue'), ('gue', 'paham'), ('paham', 'betapa'), ('betapa', 'murahnya'), ('murahnya', 'harusnya'), ('harusnya', 'harga'), ('harga', 'bensin'), ('bensin', '...'), ('...', 'namun'), ('namun', 'penjahat'), ('penjahat', 'disektor'), ('disektor', 'tersebutlah'), ('tersebutlah', 'yg'), ('yg', 'bikin'), ('bikin', 'jadi'), ('jadi', 'mahal')]"
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?","😅😅😅😅betul. kl byk kilang, kenapa nggak cukup minyak produksinya? impor utk dpt fee impor? niru persis kayak kasus impor daging sapi? komisi dibagi-bagi? alasan impor, gak cukup produksinya, tapi boong! blm penemuan sumber minyak di arun, aceh, itu terbesar di dunia! masih kurang fee impornya? subsidi bbm 30 trilyun, digedein jadi 37 trilyun. kemana 7 trilyun tsb?","['😅😅😅😅betul', '.', 'kl', 'byk', 'kilang', ',', 'kenapa', 'nggak', 'cukup', 'minyak', 'produksinya', '?', 'impor', 'utk', 'dpt', 'fee', 'impor', '?', 'niru', 'persis', 'kayak', 'kasus', 'impor', 'daging', 'sapi', '?', 'komisi', 'dibagi-bagi', '?', 'alasan', 'impor', ',', 'gak', 'cukup', 'produksinya', ',', 'tapi', 'boong', '!', 'blm', 'penemuan', 'sumber', 'minyak', 'di', 'arun', ',', 'aceh', ',', 'itu', 'terbesar', 'di', 'dunia', '!', 'masih', 'kurang', 'fee', 'impornya', '?', 'subsidi', 'bbm', '30', 'trilyun', ',', 'digedein', 'jadi', '37', 'trilyun', '.', 'kemana', '7', 'trilyun', 'tsb', '?']","[('😅😅😅😅betul', '.'), ('.', 'kl'), ('kl', 'byk'), ('byk', 'kilang'), ('kilang', ','), (',', 'kenapa'), ('kenapa', 'nggak'), ('nggak', 'cukup'), ('cukup', 'minyak'), ('minyak', 'produksinya'), ('produksinya', '?'), ('?', 'impor'), ('impor', 'utk'), ('utk', 'dpt'), ('dpt', 'fee'), ('fee', 'impor'), ('impor', '?'), ('?', 'niru'), ('niru', 'persis'), ('persis', 'kayak'), ('kayak', 'kasus'), ('kasus', 'impor'), ('impor', 'daging'), ('daging', 'sapi'), ('sapi', '?'), ('?', 'komisi'), ('komisi', 'dibagi-bagi'), ('dibagi-bagi', '?'), ('?', 'alasan'), ('alasan', 'impor'), ('impor', ','), (',', 'gak'), ('gak', 'cukup'), ('cukup', 'produksinya'), ('produksinya', ','), (',', 'tapi'), ('tapi', 'boong'), ('boong', '!'), ('!', 'blm'), ('blm', 'penemuan'), ('penemuan', 'sumber'), ('sumber', 'minyak'), ('minyak', 'di'), ('di', 'arun'), ('arun', ','), (',', 'aceh'), ('aceh', ','), (',', 'itu'), ('itu', 'terbesar'), ('terbesar', 'di'), ('di', 'dunia'), ('dunia', '!'), ('!', 'masih'), ('masih', 'kurang'), ('kurang', 'fee'), ('fee', 'impornya'), ('impornya', '?'), ('?', 'subsidi'), ('subsidi', 'bbm'), ('bbm', '30'), ('30', 'trilyun'), ('trilyun', ','), (',', 'digedein'), ('digedein', 'jadi'), ('jadi', '37'), ('37', 'trilyun'), ('trilyun', '.'), ('.', 'kemana'), ('kemana', '7'), ('7', 'trilyun'), ('trilyun', 'tsb'), ('tsb', '?')]"
@ahmadnasir7286,Antrian di SPBU Ngantri 😂,antrian di spbu ngantri 😂,"['antrian', 'di', 'spbu', 'ngantri', '😂']","[('antrian', 'di'), ('di', 'spbu'), ('spbu', 'ngantri'), ('ngantri', '😂')]"
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha,klo over seharusnya bisa eksport bbm dong hahaha,"['klo', 'over', 'seharusnya', 'bisa', 'eksport', 'bbm', 'dong', 'hahaha']","[('klo', 'over'), ('over', 'seharusnya'), ('seharusnya', 'bisa'), ('bisa', 'eksport'), ('eksport', 'bbm'), ('bbm', 'dong'), ('dong', 'hahaha')]"
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂,anda percaya goblin atau orang teknis 😂,"['anda', 'percaya', 'goblin', 'atau', 'orang', 'teknis', '😂']","[('anda', 'percaya'), ('percaya', 'goblin'), ('goblin', 'atau'), ('atau', 'orang'), ('orang', 'teknis'), ('teknis', '😂')]"
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,over akting bukan over capacity. oper oper terus gak ada goal. rakyat kena finalti terus.,"['over', 'akting', 'bukan', 'over', 'capacity', '.', 'oper', 'oper', 'terus', 'gak', 'ada', 'goal', '.', 'rakyat', 'kena', 'finalti', 'terus', '.']","[('over', 'akting'), ('akting', 'bukan'), ('bukan', 'over'), ('over', 'capacity'), ('capacity', '.'), ('.', 'oper'), ('oper', 'oper'), ('oper', 'terus'), ('terus', 'gak'), ('gak', 'ada'), ('ada', 'goal'), ('goal', '.'), ('.', 'rakyat'), ('rakyat', 'kena'), ('kena', 'finalti'), ('finalti', 'terus'), ('terus', '.')]"
@AnakSingkong-oi6gb,Muka tuyul .mafia,muka tuyul .mafia,"['muka', 'tuyul', '.mafia']","[('muka', 'tuyul'), ('tuyul', '.mafia')]"
@raismone217,Waduh lagu lama nih...otakx,waduh lagu lama nih...otakx,"['waduh', 'lagu', 'lama', 'nih', '...', 'otakx']","[('waduh', 'lagu'), ('lagu', 'lama'), ('lama', 'nih'), ('nih', '...'), ('...', 'otakx')]"
@masjovi,🤣,🤣,['🤣'],[]
@shellarevi5876,Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,"['bener', 'banget', 'heran', 'apa', 'sii', 'yg', 'buat', 'pak', 'prabowo', 'masih', 'mempertahankan', 'itu', 'org', 'padahal', 'banyak', 'orang', 'indonesia', 'yg', 'lebih', 'pinter', 'dan', 'yg', 'jelas', 'jujur', 'dan', 'mau', 'bekerja', 'bener²']","[('bener', 'banget'), ('banget', 'heran'), ('heran', 'apa'), ('apa', 'sii'), ('sii', 'yg'), ('yg', 'buat'), ('buat', 'pak'), ('pak', 'prabowo'), ('prabowo', 'masih'), ('masih', 'mempertahankan'), ('mempertahankan', 'itu'), ('itu', 'org'), ('org', 'padahal'), ('padahal', 'banyak'), ('banyak', 'orang'), ('orang', 'indonesia'), ('indonesia', 'yg'), ('yg', 'lebih'), ('lebih', 'pinter'), ('pinter', 'dan'), ('dan', 'yg'), ('yg', 'jelas'), ('jelas', 'jujur'), ('jujur', 'dan'), ('dan', 'mau'), ('mau', 'bekerja'), ('bekerja', 'bener²')]"
@mbahjosss3836,Kl gak impor gakada lahanbasah gaes😅,kl gak impor gakada lahanbasah gaes😅,"['kl', 'gak', 'impor', 'gakada', 'lahanbasah', 'gaes😅']","[('kl', 'gak'), ('gak', 'impor'), ('impor', 'gakada'), ('gakada', 'lahanbasah'), ('lahanbasah', 'gaes😅')]"
@AgusSalim-xn1ul,"​ @retnayuli Hampir semua polanya sama, ...","​ @retnayuli hampir semua polanya sama, ...","['\u200b', '@', 'retnayuli', 'hampir', 'semua', 'polanya', 'sama', ',', '...']","[('\u200b', '@'), ('@', 'retnayuli'), ('retnayuli', 'hampir'), ('hampir', 'semua'), ('semua', 'polanya'), ('polanya', 'sama'), ('sama', ','), (',', '...')]"
@nathanwidhiarso8586,"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.","​ @shellarevi5876 sepertinya itu jurus strategi ri1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.","['\u200b', '@', 'shellarevi5876', 'sepertinya', 'itu', 'jurus', 'strategi', 'ri1', 'untuk', 'melemahkan', 'partai', 'kuning', '..', 'maka', 'diangkatlah', 'menteri', 'keuangan', 'yang', 'punya', 'power', 'dan', 'kapabilitas', 'yang', 'pas', ',', 'maju', 'terus', 'pak', 'prabowo', '..', 'singkirkan', 'antek2', 'partai', 'yang', 'merusak', 'negeri', 'ini', '.']","[('\u200b', '@'), ('@', 'shellarevi5876'), ('shellarevi5876', 'sepertinya'), ('sepertinya', 'itu'), ('itu', 'jurus'), ('jurus', 'strategi'), ('strategi', 'ri1'), ('ri1', 'untuk'), ('untuk', 'melemahkan'), ('melemahkan', 'partai'), ('partai', 'kuning'), ('kuning', '..'), ('..', 'maka'), ('maka', 'diangkatlah'), ('diangkatlah', 'menteri'), ('menteri', 'keuangan'), ('keuangan', 'yang'), ('yang', 'punya'), ('punya', 'power'), ('power', 'dan'), ('dan', 'kapabilitas'), ('kapabilitas', 'yang'), ('yang', 'pas'), ('pas', ','), (',', 'maju'), ('maju', 'terus'), ('terus', 'pak'), ('pak', 'prabowo'), ('prabowo', '..'), ('..', 'singkirkan'), ('singkirkan', 'antek2'), ('antek2', 'partai'), ('partai', 'yang'), ('yang', 'merusak'), ('merusak', 'negeri'), ('negeri', 'ini'), ('ini', '.')]"
@warbotaow8385,Asli bahlil harus diganti karna impor impor terus,asli bahlil harus diganti karna impor impor terus,"['asli', 'bahlil', 'harus', 'diganti', 'karna', 'impor', 'impor', 'terus']","[('asli', 'bahlil'), ('bahlil', 'harus'), ('harus', 'diganti'), ('diganti', 'karna'), ('karna', 'impor'), ('impor', 'impor'), ('impor', 'terus')]"
@Pertamax93,"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂","menteri ini berfikir gak pakai logika
tpi pakai duit😂","['menteri', 'ini', 'berfikir', 'gak', 'pakai', 'logika', 'tpi', 'pakai', 'duit😂']","[('menteri', 'ini'), ('ini', 'berfikir'), ('berfikir', 'gak'), ('gak', 'pakai'), ('pakai', 'logika'), ('logika', 'tpi'), ('tpi', 'pakai'), ('pakai', 'duit😂')]"
