author,comment,clean_comment,tokens,trigrams
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?","jebolan itb lawan jebolan yg kampusnya nggak ada di gogle,ayo rskyat!!! siapa yg hebat?","['jebolan', 'itb', 'lawan', 'jebolan', 'yg', 'kampusnya', 'nggak', 'ada', 'di', 'gogle', ',', 'ayo', 'rskyat', '!', '!', '!', 'siapa', 'yg', 'hebat', '?']","[('jebolan', 'itb', 'lawan'), ('itb', 'lawan', 'jebolan'), ('lawan', 'jebolan', 'yg'), ('jebolan', 'yg', 'kampusnya'), ('yg', 'kampusnya', 'nggak'), ('kampusnya', 'nggak', 'ada'), ('nggak', 'ada', 'di'), ('ada', 'di', 'gogle'), ('di', 'gogle', ','), ('gogle', ',', 'ayo'), (',', 'ayo', 'rskyat'), ('ayo', 'rskyat', '!'), ('rskyat', '!', '!'), ('!', '!', '!'), ('!', '!', 'siapa'), ('!', 'siapa', 'yg'), ('siapa', 'yg', 'hebat'), ('yg', 'hebat', '?')]"
@ShuckryAmien,"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,.","semenjak zaman pak soeharto tidak satupun sumur minyak dan kilang yang di bangun.  ada apa?????????
padahal perkara sepele mengurus hal seperti itu,.","['semenjak', 'zaman', 'pak', 'soeharto', 'tidak', 'satupun', 'sumur', 'minyak', 'dan', 'kilang', 'yang', 'di', 'bangun', '.', 'ada', 'apa', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'padahal', 'perkara', 'sepele', 'mengurus', 'hal', 'seperti', 'itu', ',', '.']","[('semenjak', 'zaman', 'pak'), ('zaman', 'pak', 'soeharto'), ('pak', 'soeharto', 'tidak'), ('soeharto', 'tidak', 'satupun'), ('tidak', 'satupun', 'sumur'), ('satupun', 'sumur', 'minyak'), ('sumur', 'minyak', 'dan'), ('minyak', 'dan', 'kilang'), ('dan', 'kilang', 'yang'), ('kilang', 'yang', 'di'), ('yang', 'di', 'bangun'), ('di', 'bangun', '.'), ('bangun', '.', 'ada'), ('.', 'ada', 'apa'), ('ada', 'apa', '?'), ('apa', '?', '?'), ('?', '?', '?'), ('?', '?', '?'), ('?', '?', '?'), ('?', '?', '?'), ('?', '?', '?'), ('?', '?', '?'), ('?', '?', '?'), ('?', '?', 'padahal'), ('?', 'padahal', 'perkara'), ('padahal', 'perkara', 'sepele'), ('perkara', 'sepele', 'mengurus'), ('sepele', 'mengurus', 'hal'), ('mengurus', 'hal', 'seperti'), ('hal', 'seperti', 'itu'), ('seperti', 'itu', ','), ('itu', ',', '.')]"
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍","menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍","['menkeu', 'dulu', 'berjulukan', 'ratu', 'pajak', ',', 'pencekik', 'rakyat', 'jelata', '.', 'menkeu', 'sekarang', ',', 'jadi', 'pahlawan', 'rakyat', ',', 'lawan', '``', 'politikus', 'gelap', ""''"", '.', '👍']","[('menkeu', 'dulu', 'berjulukan'), ('dulu', 'berjulukan', 'ratu'), ('berjulukan', 'ratu', 'pajak'), ('ratu', 'pajak', ','), ('pajak', ',', 'pencekik'), (',', 'pencekik', 'rakyat'), ('pencekik', 'rakyat', 'jelata'), ('rakyat', 'jelata', '.'), ('jelata', '.', 'menkeu'), ('.', 'menkeu', 'sekarang'), ('menkeu', 'sekarang', ','), ('sekarang', ',', 'jadi'), (',', 'jadi', 'pahlawan'), ('jadi', 'pahlawan', 'rakyat'), ('pahlawan', 'rakyat', ','), ('rakyat', ',', 'lawan'), (',', 'lawan', '``'), ('lawan', '``', 'politikus'), ('``', 'politikus', 'gelap'), ('politikus', 'gelap', ""''""), ('gelap', ""''"", '.'), (""''"", '.', '👍')]"
@AW-zu4kk,"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98","maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98","['maaf', 'dana', 'nya', 'abis', 'di', 'pake', 'korupsi', ',', 'ngak', 'bangun', 'kilang', 'sejak', 'tahun', '98']","[('maaf', 'dana', 'nya'), ('dana', 'nya', 'abis'), ('nya', 'abis', 'di'), ('abis', 'di', 'pake'), ('di', 'pake', 'korupsi'), ('pake', 'korupsi', ','), ('korupsi', ',', 'ngak'), (',', 'ngak', 'bangun'), ('ngak', 'bangun', 'kilang'), ('bangun', 'kilang', 'sejak'), ('kilang', 'sejak', 'tahun'), ('sejak', 'tahun', '98')]"
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!,tangkap & periksa bahliil !!!!!!!,"['tangkap', '&', 'periksa', 'bahliil', '!', '!', '!', '!', '!', '!', '!']","[('tangkap', '&', 'periksa'), ('&', 'periksa', 'bahliil'), ('periksa', 'bahliil', '!'), ('bahliil', '!', '!'), ('!', '!', '!'), ('!', '!', '!'), ('!', '!', '!'), ('!', '!', '!'), ('!', '!', '!')]"
@drumsetmusician,"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉","""sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉","['``', 'sebentar', 'lagi', 'mau', 'di', 'bangun', 'kok', '...', ""''"", '.....', 'dalam', 'mimpi', 'kali', 'yeee😅🎉']","[('``', 'sebentar', 'lagi'), ('sebentar', 'lagi', 'mau'), ('lagi', 'mau', 'di'), ('mau', 'di', 'bangun'), ('di', 'bangun', 'kok'), ('bangun', 'kok', '...'), ('kok', '...', ""''""), ('...', ""''"", '.....'), (""''"", '.....', 'dalam'), ('.....', 'dalam', 'mimpi'), ('dalam', 'mimpi', 'kali'), ('mimpi', 'kali', 'yeee😅🎉')]"
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!","ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!","['ukraina', 'aja', 'yg', 'lgi', 'perang', 'bisa', 'bangun', 'ulang', 'kilang', 'minyak', 'mereka', ',', 'lah', 'ini', 'nggak', 'ngapa2in', 'kagak', 'bisa', 'bangun', 'kilang', '!', '!', '!']","[('ukraina', 'aja', 'yg'), ('aja', 'yg', 'lgi'), ('yg', 'lgi', 'perang'), ('lgi', 'perang', 'bisa'), ('perang', 'bisa', 'bangun'), ('bisa', 'bangun', 'ulang'), ('bangun', 'ulang', 'kilang'), ('ulang', 'kilang', 'minyak'), ('kilang', 'minyak', 'mereka'), ('minyak', 'mereka', ','), ('mereka', ',', 'lah'), (',', 'lah', 'ini'), ('lah', 'ini', 'nggak'), ('ini', 'nggak', 'ngapa2in'), ('nggak', 'ngapa2in', 'kagak'), ('ngapa2in', 'kagak', 'bisa'), ('kagak', 'bisa', 'bangun'), ('bisa', 'bangun', 'kilang'), ('bangun', 'kilang', '!'), ('kilang', '!', '!'), ('!', '!', '!')]"
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,wah bahlil main2 sama mentri kepercayaan prabowo.,"['wah', 'bahlil', 'main2', 'sama', 'mentri', 'kepercayaan', 'prabowo', '.']","[('wah', 'bahlil', 'main2'), ('bahlil', 'main2', 'sama'), ('main2', 'sama', 'mentri'), ('sama', 'mentri', 'kepercayaan'), ('mentri', 'kepercayaan', 'prabowo'), ('kepercayaan', 'prabowo', '.')]"
@SaveroEro-l2k,"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...","kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...","['kita', 'ga', 'kekurangan', 'orang', 'pinter', ',', 'cuma', 'kerkurangan', 'hati', 'nurani', '...']","[('kita', 'ga', 'kekurangan'), ('ga', 'kekurangan', 'orang'), ('kekurangan', 'orang', 'pinter'), ('orang', 'pinter', ','), ('pinter', ',', 'cuma'), (',', 'cuma', 'kerkurangan'), ('cuma', 'kerkurangan', 'hati'), ('kerkurangan', 'hati', 'nurani'), ('hati', 'nurani', '...')]"
@syahruljailani9507,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,"['gila', 'dr', 'tahun', '98', '...', 'dr', 'sini', 'gue', 'paham', 'betapa', 'murahnya', 'harusnya', 'harga', 'bensin', '...', 'namun', 'penjahat', 'disektor', 'tersebutlah', 'yg', 'bikin', 'jadi', 'mahal']","[('gila', 'dr', 'tahun'), ('dr', 'tahun', '98'), ('tahun', '98', '...'), ('98', '...', 'dr'), ('...', 'dr', 'sini'), ('dr', 'sini', 'gue'), ('sini', 'gue', 'paham'), ('gue', 'paham', 'betapa'), ('paham', 'betapa', 'murahnya'), ('betapa', 'murahnya', 'harusnya'), ('murahnya', 'harusnya', 'harga'), ('harusnya', 'harga', 'bensin'), ('harga', 'bensin', '...'), ('bensin', '...', 'namun'), ('...', 'namun', 'penjahat'), ('namun', 'penjahat', 'disektor'), ('penjahat', 'disektor', 'tersebutlah'), ('disektor', 'tersebutlah', 'yg'), ('tersebutlah', 'yg', 'bikin'), ('yg', 'bikin', 'jadi'), ('bikin', 'jadi', 'mahal')]"
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?","😅😅😅😅betul. kl byk kilang, kenapa nggak cukup minyak produksinya? impor utk dpt fee impor? niru persis kayak kasus impor daging sapi? komisi dibagi-bagi? alasan impor, gak cukup produksinya, tapi boong! blm penemuan sumber minyak di arun, aceh, itu terbesar di dunia! masih kurang fee impornya? subsidi bbm 30 trilyun, digedein jadi 37 trilyun. kemana 7 trilyun tsb?","['😅😅😅😅betul', '.', 'kl', 'byk', 'kilang', ',', 'kenapa', 'nggak', 'cukup', 'minyak', 'produksinya', '?', 'impor', 'utk', 'dpt', 'fee', 'impor', '?', 'niru', 'persis', 'kayak', 'kasus', 'impor', 'daging', 'sapi', '?', 'komisi', 'dibagi-bagi', '?', 'alasan', 'impor', ',', 'gak', 'cukup', 'produksinya', ',', 'tapi', 'boong', '!', 'blm', 'penemuan', 'sumber', 'minyak', 'di', 'arun', ',', 'aceh', ',', 'itu', 'terbesar', 'di', 'dunia', '!', 'masih', 'kurang', 'fee', 'impornya', '?', 'subsidi', 'bbm', '30', 'trilyun', ',', 'digedein', 'jadi', '37', 'trilyun', '.', 'kemana', '7', 'trilyun', 'tsb', '?']","[('😅😅😅😅betul', '.', 'kl'), ('.', 'kl', 'byk'), ('kl', 'byk', 'kilang'), ('byk', 'kilang', ','), ('kilang', ',', 'kenapa'), (',', 'kenapa', 'nggak'), ('kenapa', 'nggak', 'cukup'), ('nggak', 'cukup', 'minyak'), ('cukup', 'minyak', 'produksinya'), ('minyak', 'produksinya', '?'), ('produksinya', '?', 'impor'), ('?', 'impor', 'utk'), ('impor', 'utk', 'dpt'), ('utk', 'dpt', 'fee'), ('dpt', 'fee', 'impor'), ('fee', 'impor', '?'), ('impor', '?', 'niru'), ('?', 'niru', 'persis'), ('niru', 'persis', 'kayak'), ('persis', 'kayak', 'kasus'), ('kayak', 'kasus', 'impor'), ('kasus', 'impor', 'daging'), ('impor', 'daging', 'sapi'), ('daging', 'sapi', '?'), ('sapi', '?', 'komisi'), ('?', 'komisi', 'dibagi-bagi'), ('komisi', 'dibagi-bagi', '?'), ('dibagi-bagi', '?', 'alasan'), ('?', 'alasan', 'impor'), ('alasan', 'impor', ','), ('impor', ',', 'gak'), (',', 'gak', 'cukup'), ('gak', 'cukup', 'produksinya'), ('cukup', 'produksinya', ','), ('produksinya', ',', 'tapi'), (',', 'tapi', 'boong'), ('tapi', 'boong', '!'), ('boong', '!', 'blm'), ('!', 'blm', 'penemuan'), ('blm', 'penemuan', 'sumber'), ('penemuan', 'sumber', 'minyak'), ('sumber', 'minyak', 'di'), ('minyak', 'di', 'arun'), ('di', 'arun', ','), ('arun', ',', 'aceh'), (',', 'aceh', ','), ('aceh', ',', 'itu'), (',', 'itu', 'terbesar'), ('itu', 'terbesar', 'di'), ('terbesar', 'di', 'dunia'), ('di', 'dunia', '!'), ('dunia', '!', 'masih'), ('!', 'masih', 'kurang'), ('masih', 'kurang', 'fee'), ('kurang', 'fee', 'impornya'), ('fee', 'impornya', '?'), ('impornya', '?', 'subsidi'), ('?', 'subsidi', 'bbm'), ('subsidi', 'bbm', '30'), ('bbm', '30', 'trilyun'), ('30', 'trilyun', ','), ('trilyun', ',', 'digedein'), (',', 'digedein', 'jadi'), ('digedein', 'jadi', '37'), ('jadi', '37', 'trilyun'), ('37', 'trilyun', '.'), ('trilyun', '.', 'kemana'), ('.', 'kemana', '7'), ('kemana', '7', 'trilyun'), ('7', 'trilyun', 'tsb'), ('trilyun', 'tsb', '?')]"
@ahmadnasir7286,Antrian di SPBU Ngantri 😂,antrian di spbu ngantri 😂,"['antrian', 'di', 'spbu', 'ngantri', '😂']","[('antrian', 'di', 'spbu'), ('di', 'spbu', 'ngantri'), ('spbu', 'ngantri', '😂')]"
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha,klo over seharusnya bisa eksport bbm dong hahaha,"['klo', 'over', 'seharusnya', 'bisa', 'eksport', 'bbm', 'dong', 'hahaha']","[('klo', 'over', 'seharusnya'), ('over', 'seharusnya', 'bisa'), ('seharusnya', 'bisa', 'eksport'), ('bisa', 'eksport', 'bbm'), ('eksport', 'bbm', 'dong'), ('bbm', 'dong', 'hahaha')]"
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂,anda percaya goblin atau orang teknis 😂,"['anda', 'percaya', 'goblin', 'atau', 'orang', 'teknis', '😂']","[('anda', 'percaya', 'goblin'), ('percaya', 'goblin', 'atau'), ('goblin', 'atau', 'orang'), ('atau', 'orang', 'teknis'), ('orang', 'teknis', '😂')]"
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,over akting bukan over capacity. oper oper terus gak ada goal. rakyat kena finalti terus.,"['over', 'akting', 'bukan', 'over', 'capacity', '.', 'oper', 'oper', 'terus', 'gak', 'ada', 'goal', '.', 'rakyat', 'kena', 'finalti', 'terus', '.']","[('over', 'akting', 'bukan'), ('akting', 'bukan', 'over'), ('bukan', 'over', 'capacity'), ('over', 'capacity', '.'), ('capacity', '.', 'oper'), ('.', 'oper', 'oper'), ('oper', 'oper', 'terus'), ('oper', 'terus', 'gak'), ('terus', 'gak', 'ada'), ('gak', 'ada', 'goal'), ('ada', 'goal', '.'), ('goal', '.', 'rakyat'), ('.', 'rakyat', 'kena'), ('rakyat', 'kena', 'finalti'), ('kena', 'finalti', 'terus'), ('finalti', 'terus', '.')]"
@AnakSingkong-oi6gb,Muka tuyul .mafia,muka tuyul .mafia,"['muka', 'tuyul', '.mafia']","[('muka', 'tuyul', '.mafia')]"
@raismone217,Waduh lagu lama nih...otakx,waduh lagu lama nih...otakx,"['waduh', 'lagu', 'lama', 'nih', '...', 'otakx']","[('waduh', 'lagu', 'lama'), ('lagu', 'lama', 'nih'), ('lama', 'nih', '...'), ('nih', '...', 'otakx')]"
@masjovi,🤣,🤣,['🤣'],[]
