author,comment,clean_text,cluster_id,sentimen
@ajidabumumtaz8849,Klo termul percaya ajah krn gk bisa rasional. Surplus ko malah import,klo termul percaya ajah krn gk rasional surplus ko malah import,0,positif
@dreimarsch388,"Mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, Taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 Itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri.",kerja sama sama pihak luar jual keluar lalu impor balik tau main kepala untung pribadi beli hantu bro main barang milik pertamina sendiri,0,positif
@NurfinLamuda,​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii,mikeconroe klo orang teknis justru nyurinya lebih rapiiii,0,positif
@abdulrasid3360,Menteri ESDM+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂,menteri esdm jabat nya pertamina jabat nya under capacity semua,0,positif
@adammarcelo0911,Knp presiden masih mempertahankan.....ada apa yaa ?😂,knp presiden tahan apa yaa,0,positif
@kaoskaosdistro,"Kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
Makanya import mulu",kilang penuh maksud cm dpt juta pdhl hari butuh makanya import mulu,0,positif
@suprianto9444,​ @NurfinLamuda kocak lu belain bahlil😂😂,nurfinlamuda kocak lu bain bahlil,0,positif
@takumi_8679,"Memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. Harusnya upgrade kilang",memang overcapacity tp mayoritas kilang teknologi jadul jadi udah ga produksi bbm kualitas tinggi otomatis impor singapua yg kilang lebih modern harus upgrade kilang,0,positif
@pratamaramadhan8265,"cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk",cuan impor bang jadi gamau nambah kilang wkwkwk,0,positif
@yusnomi6370,Teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn,untuk kalimantan barat antri solar sudh makan tiap hri lama thn,0,positif
@irfanmaulanas6631,Dulu boneka sengkunl ada jokow sekarang ada plcoLo,dulu boneka sengkunl jokow sekarang plcolo,0,positif
@ImsaGiya,Goblin beraksi 😅,goblin aksi,1,negatif
@luka123marj,Mafianya parpol itu. Bagi2 cuan...,mafia parpol cuan,0,positif
@sekjenbatu,Itu tangan colek siapa..?,tangan colek siapa,0,positif
@Russianroulette-rl6yl,"​ @shellarevi5876 
Bahlil ini Ketua Umum Golkar. Megawati nya Golkar lah.",shellarevi bahlil ketua umum golkar megawati nya golkar lah,0,positif
@Russianroulette-rl6yl,"​ @nathanwidhiarso8586 
Mana mungkin ngelemahin partai kuning. Bu Tatik Suharto  itu dari partai apa emangnya?",nathanwidhiarso mana mungkin ngelemahin partai kuning bu tatik suharto partai apa emang,0,positif
@MrHaplovan,"Kalau over kapasitas, mestinya bisa ekspor,
Tapi malah impor dngn alasan over demand

Lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong",kalau over kapasitas mesti ekspor malah impor dngn alas over demand lah kalau kek gitu over kapasitas tanggulang tambah unit olah dong,0,positif
@brugmusic4411,otak pejabatnya bro yg over😂,otak jabat bro yg over,0,positif
@jamalel-rhajj8024,Jelas ini mah nongol tiap hari,jelas mah nongol tiap hari,0,positif
@AdhieeBerewok,Betul,betul,0,positif
@vivinur3779,Shell aja kosong kok bilang overcapacity batukmu kuwi,shell aja kosong kok bilang overcapacity batuk kuwi,0,positif
@dearestdi, @shellarevi5876 orangnya siapa dia…ga berani presidennya,shellarevi orang siapa ga berani presiden,0,positif
@aryalifram9510,"Anjir, gua tiap mau beli dexlite di SPBU langganan,selalu kosong.
Diancok, mana udah jauh juah ke SPBU , eh kosong Mulu.",anjir gua tiap mau beli dexlite spbu langgan selalu kosong diancok mana udah jauh juah spbu eh kosong mulu,0,positif
@jiilassa1986,Sudah beberapa ini hari di kota timika BBM langka. Antrian semua SPBU sangat panjang  skrng per tgl 08 Oktober 2025,beberapa hari kota timika bbm langka antri semua spbu sangat panjang skrng per tgl oktober,0,positif
@ekowaryono8099,"Bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai Golkar",bahlil genk solo paling vokal perintah sayang nya ketua partai golkar,0,positif
@abah2474,"Overcapacity tapi impor masih tinggi, masih banyak ? Ini biasa mikir tidak ya sebelum bicara 🤔",overcapacity impor tinggi banyak biasa mikir bicara,0,positif
@KlausBernston,Ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 ,ga ga bs jd pahlawan siang bolong dong si wowo shellarevi,0,positif
@yuwonobasuki8651,"Yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas BBM-nya.
Dengerin tuuhh.....wahai Pertamina apa yg disampaikan oleh Menkeu-Purbaya.
Beliau bkn buzzer dan bukan politikus vs Bahlil.
Lihat aja faktanya.
Jangan muter2 aja Lil.",banyak orang o on korup pertama blm kualitas bbm nya dengerin tuuhh wahai pertamina apa yg sampai menkeu purbaya beliau bkn buzzer bukan politikus vs bahlil lihat aja fakta jangan muter aja lil,0,positif
@firman_mustaqim,Dan harusnya juga murah kok mahal dan terus naik😂,harus murah kok mahal terus naik,0,positif
@mustafa12-op5er,Sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢,benar hari kaya rampok diam,0,positif
@Mr_Prime265,Namanya juga BAHLUL,nama bahlul,0,positif
@mochhadikhilmi1617,Mentri titipan genk oslo,tri titip genk oslo,0,positif
@deavindy5274,Goblin banyak bohong nya,goblin banyak bohong nya,1,negatif
@abubakr535,BUMN tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. Udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga Jalan,bumn tuh gak perlu untung asal beri barang komoditas yg jangkau buat rakyat udah bener shell dkk ambil import langsung luar lewat kilang pertamina biar kompetisi harga jalan,0,positif
@Masaddurenkepel,"kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi Pbowo untuk memperlihatkan kinerja Bahlil sehingga terpojok. Pbowo terlihat sudah mulai menekan Bahlil lewat menteri baru nya, pak Menkeu Purbaya. yg berani senggol2 berbagai pihak. Pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini KLO menurut saya.",kayak kontrak politik lgsg main pecat memang strategi pbowo lihat kerja bahlil pojok pbowo lihat mulai tekan bahlil lewat menteri baru nya pak menkeu purbaya yg berani senggol bagai pihak pbowo nampaknya pakai tangan langsung tp pinjam tangan org strategi sih klo,0,positif
@aralmelintang_2,ngomong sama tembok lil,ngomong sama tembok lil,0,positif
@archilleschannel9490,Mesti diganti bahlul biar menteri baru Purbaya jd sinkron demi kemajuan Indonesia🎉,mesti ganti bahlul biar menteri baru purbaya jd sinkron maju indonesia,0,positif
@armansimanjuntak1709,"Betul,mmg agak Laen ya bro",betul mmg laen bro,0,positif
@ajatzulkarnaen8866,"Mentri Yang gini jangan di reshuffle tp di keluarkan dari kabinet,",tri gin jangan reshuffle tp keluar kabinet,0,positif
@santrikalong6720,Over-capacity tapi banyak daerah yg susah minyak... Terlalu cerdas otaknya bah,over capacity banyak daerah yg susah minyak terlalu cerdas otak bah,0,positif
@Sadiman-e6p,"​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅",cmorimoybalb emang eksport k singapura tp minyak mentah nah beli dr yg udh mateng hebat kan negara,0,positif
@Aaaa1-71,​ @retnayuli seperti biasa menutupi kasus korpsi,retnayuli biasa tutup kasus korps,0,positif
@heryratno6169,"​ @shellarevi5876 tahu apa yg terjadi pada bu SriMul, menkeu lama? Nah, itu cara dan strategi Presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. Ingat, beliau mantan jenderal Kopassus. 😂 Tunggu saja finale 'konflik' kali ini.",shellarevi tahu apa yg jadi bu srimul menkeu lama nah cara strategi presiden depak menteri yg kompeten menteri mafia ingat beliau mantan jenderal kopassus tunggu finale konflik kali,0,positif
@secondnightfrombehind,Dia kira masih jaman bapaknya 😂😂😂,kira jaman bapak,0,positif
@ojandsquadny4305,​ @mikeconroe3328 mukanya persis goblin tp item😂,mikeconroe muka persis goblin tp item,1,negatif
@yakushik,Tuyul hitam ya gitu lah bro,tuyul hitam gitu lah bro,0,positif
@iwenxdoier3740,PeA,pea,0,positif
@nathanwidhiarso8586,​ @Russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.,russianroulette rl yl hmmmm kalo simak nada tulis seperti terna partai kuning nih ingat segala mungkin jadi,0,positif
@NurAini-mv4wu,Betull bikin emosi saja ...muka hitam itu lagi,betull bikin emosi muka hitam,0,positif
@MfdtlHlmyyh,Emang Bahlil tuh ngga punya logika kan selama ini... Ngga diresuffle sih parah ni Bahlil... Golkar jadi posisi nggak masalah dah,emang bahlil tuh ngga punya logika kan lama ngga diresuffle sih parah ni bahlil golkar jadi posisi masalah dah,0,positif
@Senyum30621,MUAK LIAT SI BAHLUL INI,muak liat si bahlul,0,positif
@hellogagas,Logika nya doktor UI 😅,logika nya doktor ui,0,positif
@winternotes,😂😂😂 iya bahlul mafia,iya bahlul mafia,0,positif
@eryantoja4702,logikanya di dengkul....😂,logika dengkul,0,positif
@adityaindrapratama458,"Termul iti nggk masuk akal, logikanya sesat",termul iti nggk masuk akal logika sesat,0,positif
@HerdiHidayat-kv4ci,😂😂,,0,positif
@abdurrahmanfawazi6066,Itu dia ..kenapa harus impor?,impor,0,positif
@ragenah12,"Indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi",indo cma produksi bahan mentah blum nglola sendiri indo expor bhan mentah trus beli bahan jadi,0,positif
@Hans27-b2q,Percaya smeagol ???,percaya smeagol,0,positif
@thefachrial8115,"Jelas Dan terang, tinggal tangkap Pak Polisi & KPK, ini bisa buat titik masuk Pemberantasan Korupsi migas",jelas terang tinggal tangkap pak polisi kpk buat titik masuk berantas korupsi migas,0,positif
@rojabfadillah6028,"Over capacity tapi solar antri, why",over capacity solar antri why,0,positif
@Semogaingat,"Bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?",bangun ikn kok ga mau bangun kilang mana hasil bangun ikn,0,positif
@nananghidayat8321,Mafia kelompok,mafia kelompok,0,positif
@rafirnaschanel3219,Byek sekelas Mentri kita jawabannya kayak anak smp yg masih butuh arahan . Mending jawaban anak SMA pak jelas. C....k,byek kelas tri jawab kayak anak smp yg butuh arah mending jawab anak sma pak jelas c k,0,positif
@ekasyahmomon,Dan lucunya mafia nya partai politik kan 😅,lucu mafia nya partai politik kan,0,positif
@kamudalandax4494,"Selain impor, juga dioplos ethanol 🤣🤣",impor oplos ethanol,0,positif
@akhmadsalim915,Mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣,tri kaya gin aja neng banget pak presiden kaga ingin pecat yakk,0,positif
@Agumon44,"Overcapacity tapi BBM dibanyak tempat langka dan sulit stoknya, tolonglah lah ini Bahlil peninggalan Jokowi hukum mati menyusahkan rakyat indonesia",overcapacity bbm banyak tempat langka sulit stok tolong lah bahlil tinggal jokowi hukum mati susah rakyat indonesia,0,positif
@rizquna8783,Paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂,paling lapor nya eugi,0,positif
@bajiNdoel,"Suruh dia bilang ""Saya malas pak, enak import ga susah"" 🎉",suruh bilang malas pak enak import ga susah,0,positif
@rheynaldyrama9978,Ada udang di balik bakwan nih,udang balik bakwan nih,0,positif
@alejandronadfa,"bahlil tak ada logika, itulah mengapa perlunya IPK yang tinggi 😂😂",bahlil tak logika perlu ipk tinggi,0,positif
@imamdepoair5458,Over kapasitas koq masih impor BBM?!,over kapasitas koq impor bbm,0,positif
@adeevawulandari854,Barusan sya mau komen gini. 🤣😂👍,barusan sya mau komen gin,0,positif
@JamiAddin-x4d,​ @AnakSingkong-oi6gb 😂,anaksingkong oi gb,0,positif
@waangkarajo,Mungkin sudah kontrak seumur hidup dengan singapura… 🤣🤣🤣🤣,mungkin kontrak umur hidup singapura,0,positif
@CepiCepi-q1b,Mafia..takut kehilangan bisnis nya..ngeriii permainan nya..mafia di singapore jadi broker( calo) utk import ke Indonesia..,mafia takut hilang bisnis nya ngeriii main nya mafia singapore jadi broker calo utk import indonesia,0,positif
@ilhamnuansa9382,"logika bahlil ga jalan, sengaja biar bikin kaya mafia minya😂",logika bahlil ga jalan sengaja biar bikin kaya mafia mi,0,positif
@alwaysepicapik,"wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta... ehhh sekarang abis semua dimana mana...
sekarang ane tau sebabnya 
etanol ternyata ngiket air jadi motor berebet... petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol.. 
ngaku rugi gaji selangit ditambah bonus aneh aneh😂",wkwkwk motor revo ane udah mulai enak tari semenjak rutin pake bbm swasta ehhh sekarang abis semua mana sekarang ane tau sebab etanol nyata ngiket air jadi motor rebet petamono bukan refleksi diri malah makin monopoli maksain swasta pake etanol ngaku rugi gaji langit tambah bonus aneh aneh,0,positif
@K47YTSUS7415Cc,"Bener kata si Bahlil, Nurut kita yg Salah. ( Dulu Para Pejabat jg bilang kek gitu, "" karena kita gak bisa mengelola, jadi seluruh SDA dr Sabang-Merauke  kita serahkan ke Asing biar dikelolah Oleh mereka "" 😂😂😂 32th berlalu & berlanjut sampe sekarang.",bener kata si bahlil nurut yg salah dulu jabat jg bilang kek gitu gak kelola jadi seluruh sda dr sabang merauke serah asing biar dikelolah th lalu lanjut sampe sekarang,0,positif
@ryanlfc7031,Kuliah nya di oslo jadi gableg 😂,kuliah nya oslo jadi gableg,0,positif
@umarchatab6145,Logika ngibul,logika ngibul,0,positif
@wawaladangultom4196,Mukanya yang over capacity kelewat ganteng,muka over capacity lewat ganteng,0,positif
@azam7079,Bahlilbahlil,bahlilbahlil,0,positif
@hendravideographer, @retnayuli  ke saya bang. nanti ta kirim ya,retnayuli bang ta kirim,0,positif
@krisalfarizi,LoL kau,lol kau,0,positif
@mobiltrukfiz3357,"Itu logika paling sederhana 😢, tapi kok ya berbelit-belit kek ijazah",logika paling sederhana kok belit belit kek ijazah,0,positif
@mobiltrukfiz3357,"​ @mikeconroe3328 😂😂😂 njir Goblin, Orch-nya siapa dong?",mikeconroe njir goblin orch nya siapa dong,1,negatif
@JAMRUDFoodGame-q3z,"BAHASA TERMUL... shein kanan belok kiri..
Sok NKRI padahal paling GARONG..",bahasa termul shein kanan belok kiri sok nkri padahal paling garong,0,positif
@MrDefour,"Lah saya baru mau komentar kayak begini, tp sudah ada yg komentar ginian duluan 😂",lah baru mau komentar kayak begini tp yg komentar ginian duluan,0,positif
@time_traveler85558,Emangnya goblin punya logika? 😂,emang goblin punya logika,1,negatif
@AntonBalangan,minyak ngantri di pom bensin 😂,minyak ngantri pom bensin,0,positif
@agussupriyadi4034,"Dia kira, dia yang paling pinter. Jadi bisa dikibulin...😅😅",kira paling pinter jadi dikibulin,0,positif
@Samsul08293,Garong berbulu mentri itu,garong bulu tri,0,positif
@theresiasembiring4210,​ @shellarevi5876 mana berani wowok ngelawan si mulyono,shellarevi mana berani wowok ngelawan si mulyono,0,positif
@guz3108,​ @mikeconroe3328 😅😅😅 goblin,mikeconroe goblin,1,negatif
@gustamotto5948,maksud over kapasitas itu tangkinya sdh support banyak. malah over kapasitas tangkinya. masalah bukan di tangki kurang tapi produksi kurang. ini menteri keuangan kok sana sini maksa buang duit. kalau kelebihan mending bagi2 dah ke rakyat.,maksud over kapasitas tangki sdh support banyak malah over kapasitas tangki masalah bukan tangki kurang produksi kurang menteri uang kok sana sini maksa buang duit kalau lebih mending dah rakyat,0,positif
@farmduasatu9387,"Belajar dululah apa.itu over capacity,, jangan disamain dengan ever produksi, dan beljarlah berbaik sangka sama orang, kecuali  sudah terbiasa makan yg tidak halal maka penyakit hati sulit disembuhkan",ajar dululah apa over capacity jangan disamain ever produksi beljarlah baik sangka sama orang biasa makan yg halal sakit hati sulit sembuh,0,positif
