author,comment
@shellarevi5876,Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²
@mbahjosss3836,Kl gak impor gakada lahanbasah gaes😅
@AgusSalim-xn1ul,"​ @retnayuli Hampir semua polanya sama, ..."
@nathanwidhiarso8586,"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini."
@warbotaow8385,Asli bahlil harus diganti karna impor impor terus
@Pertamax93,"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂"
@danangprabowo2741,​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...
@roromera7685,Negara Indonesia g maju2 bukan dari Rakyatnya trnyata tp Pejabat Ny sndiri yg menghambat Negara Indonesia g Maju2 😮
@upikharyanti7288,Karena Bahlil makelar importnya😂
@jait227,"bahlil ASBUN,,"
@nazmiyoug7407,Bahlil lg stand up 😂😂😂
@lakalakamnasi8432,Dukung Menkeu buat terobosan yg baru
@NanikSuciowati,Heran knpa menteri SEBODOH itu TDK DIRESUFLE oleh P Wowo
@Wagiso-us2yn,ya mending dibuat bancakan duitnya daripada utk bikin kilang..
@Aku-kv3kb,Di dengkul😂😂😂
@Aku-kv3kb,Tuyul mbah lil😂😂
@hapsarinepramudyo4228,"Beli pertalite sore hari di.SPBU nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

Bener ngga sih kebijakan ini (pencerahaannya dong loer)"
@KarmanNoob,Makin aneh ajah penjelasan ESDM ini jadi bahan kecurigaan & tertawaan rakyat kecil😮
@RusdyBoy-k7w,"Saya heran orang  Jokowi ini  dari ijazah palsu  sampai kilang  Pertamina tidak berdasar data pakta   padahal baHlul  ini baru di ESDM   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok."
@bajahitam5476,Dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.
@biasmaylinka4234,​ @shellarevi5876  sepemikiran... kok masih di pertahankan
@AsepSuryanto-zu2bp,Kalau over ngapain impor😅😅😅
@DSA_VLOG93,Pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂
@cangkemrabies2008,tetep impor tadi crude oil bukan base oilnya
@jefryjong4750,"😂😂😂😂, itulah kadang pejabat Konoha anggap rakyatnya ginlok..dan mudah dibohongi😢"
@alofficial205,"Berharap Prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,Krn kl TDK secepatnya pecat yg ada Prabowo digulung sama anggota geng Solo!!!"
@satisfied_dany,Minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti Singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi Amerika biar dapat harga murah.. sisa subsidi bisa Mereka caplok
@kcbelilas,"over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak"
@alitadnyana1218,CATAT PARTAINYA
@debujalanan7261,Jangan lupakan peran para WAKIL PARPOL yg   seharusnya mengawasi. Para WAKIL PARPOL sudah pasti kebagian UANG DIAM untuk pura-pura tidak tau.
@allenz-zy3,Menteri kebanggaan jokontolll😅😅😅😅
@bakasboy4792,😂
@ramasaid9915,Tuyul berkulit coklat
@rabbanichannel2461,Ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?
@ajidabumumtaz8849,Klo termul percaya ajah krn gk bisa rasional. Surplus ko malah import
@dreimarsch388,"Mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, Taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 Itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri."
@NurfinLamuda,​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii
@abdulrasid3360,Menteri ESDM+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂
@adammarcelo0911,Knp presiden masih mempertahankan.....ada apa yaa ?😂
@kaoskaosdistro,"Kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
Makanya import mulu"
@suprianto9444,​ @NurfinLamuda kocak lu belain bahlil😂😂
@takumi_8679,"Memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. Harusnya upgrade kilang"
@pratamaramadhan8265,"cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk"
@yusnomi6370,Teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn
@irfanmaulanas6631,Dulu boneka sengkunl ada jokow sekarang ada plcoLo
@ImsaGiya,Goblin beraksi 😅
@luka123marj,Mafianya parpol itu. Bagi2 cuan...
@sekjenbatu,Itu tangan colek siapa..?
@Russianroulette-rl6yl,"​ @shellarevi5876 
Bahlil ini Ketua Umum Golkar. Megawati nya Golkar lah."
@Russianroulette-rl6yl,"​ @nathanwidhiarso8586 
Mana mungkin ngelemahin partai kuning. Bu Tatik Suharto  itu dari partai apa emangnya?"
@MrHaplovan,"Kalau over kapasitas, mestinya bisa ekspor,
Tapi malah impor dngn alasan over demand

Lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong"
@brugmusic4411,otak pejabatnya bro yg over😂
@jamalel-rhajj8024,Jelas ini mah nongol tiap hari
@AdhieeBerewok,Betul
@vivinur3779,Shell aja kosong kok bilang overcapacity batukmu kuwi
@dearestdi, @shellarevi5876 orangnya siapa dia…ga berani presidennya
@aryalifram9510,"Anjir, gua tiap mau beli dexlite di SPBU langganan,selalu kosong.
Diancok, mana udah jauh juah ke SPBU , eh kosong Mulu."
@jiilassa1986,Sudah beberapa ini hari di kota timika BBM langka. Antrian semua SPBU sangat panjang  skrng per tgl 08 Oktober 2025
@ekowaryono8099,"Bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai Golkar"
@abah2474,"Overcapacity tapi impor masih tinggi, masih banyak ? Ini biasa mikir tidak ya sebelum bicara 🤔"
@KlausBernston,Ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 
@yuwonobasuki8651,"Yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas BBM-nya.
Dengerin tuuhh.....wahai Pertamina apa yg disampaikan oleh Menkeu-Purbaya.
Beliau bkn buzzer dan bukan politikus vs Bahlil.
Lihat aja faktanya.
Jangan muter2 aja Lil."
@firman_mustaqim,Dan harusnya juga murah kok mahal dan terus naik😂
@mustafa12-op5er,Sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢
@Mr_Prime265,Namanya juga BAHLUL
@mochhadikhilmi1617,Mentri titipan genk oslo
@deavindy5274,Goblin banyak bohong nya
@abubakr535,BUMN tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. Udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga Jalan
@Masaddurenkepel,"kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi Pbowo untuk memperlihatkan kinerja Bahlil sehingga terpojok. Pbowo terlihat sudah mulai menekan Bahlil lewat menteri baru nya, pak Menkeu Purbaya. yg berani senggol2 berbagai pihak. Pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini KLO menurut saya."
@aralmelintang_2,ngomong sama tembok lil
@archilleschannel9490,Mesti diganti bahlul biar menteri baru Purbaya jd sinkron demi kemajuan Indonesia🎉
@armansimanjuntak1709,"Betul,mmg agak Laen ya bro"
@ajatzulkarnaen8866,"Mentri Yang gini jangan di reshuffle tp di keluarkan dari kabinet,"
@santrikalong6720,Over-capacity tapi banyak daerah yg susah minyak... Terlalu cerdas otaknya bah
@Sadiman-e6p,"​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅"
@Aaaa1-71,​ @retnayuli seperti biasa menutupi kasus korpsi
@heryratno6169,"​ @shellarevi5876 tahu apa yg terjadi pada bu SriMul, menkeu lama? Nah, itu cara dan strategi Presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. Ingat, beliau mantan jenderal Kopassus. 😂 Tunggu saja finale 'konflik' kali ini."
@secondnightfrombehind,Dia kira masih jaman bapaknya 😂😂😂
@ojandsquadny4305,​ @mikeconroe3328 mukanya persis goblin tp item😂
@yakushik,Tuyul hitam ya gitu lah bro
@iwenxdoier3740,PeA
@nathanwidhiarso8586,​ @Russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.
@NurAini-mv4wu,Betull bikin emosi saja ...muka hitam itu lagi
@MfdtlHlmyyh,Emang Bahlil tuh ngga punya logika kan selama ini... Ngga diresuffle sih parah ni Bahlil... Golkar jadi posisi nggak masalah dah
@Senyum30621,MUAK LIAT SI BAHLUL INI
@hellogagas,Logika nya doktor UI 😅
@winternotes,😂😂😂 iya bahlul mafia
@eryantoja4702,logikanya di dengkul....😂
@adityaindrapratama458,"Termul iti nggk masuk akal, logikanya sesat"
@HerdiHidayat-kv4ci,😂😂
@abdurrahmanfawazi6066,Itu dia ..kenapa harus impor?
@ragenah12,"Indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi"
@Hans27-b2q,Percaya smeagol ???
@thefachrial8115,"Jelas Dan terang, tinggal tangkap Pak Polisi & KPK, ini bisa buat titik masuk Pemberantasan Korupsi migas"
@rojabfadillah6028,"Over capacity tapi solar antri, why"
@Semogaingat,"Bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?"
@nananghidayat8321,Mafia kelompok
@rafirnaschanel3219,Byek sekelas Mentri kita jawabannya kayak anak smp yg masih butuh arahan . Mending jawaban anak SMA pak jelas. C....k
@ekasyahmomon,Dan lucunya mafia nya partai politik kan 😅
@kamudalandax4494,"Selain impor, juga dioplos ethanol 🤣🤣"
@akhmadsalim915,Mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣
@Agumon44,"Overcapacity tapi BBM dibanyak tempat langka dan sulit stoknya, tolonglah lah ini Bahlil peninggalan Jokowi hukum mati menyusahkan rakyat indonesia"
@rizquna8783,Paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂
@bajiNdoel,"Suruh dia bilang ""Saya malas pak, enak import ga susah"" 🎉"
@rheynaldyrama9978,Ada udang di balik bakwan nih
@alejandronadfa,"bahlil tak ada logika, itulah mengapa perlunya IPK yang tinggi 😂😂"
@imamdepoair5458,Over kapasitas koq masih impor BBM?!
@adeevawulandari854,Barusan sya mau komen gini. 🤣😂👍
@JamiAddin-x4d,​ @AnakSingkong-oi6gb 😂
@waangkarajo,Mungkin sudah kontrak seumur hidup dengan singapura… 🤣🤣🤣🤣
@CepiCepi-q1b,Mafia..takut kehilangan bisnis nya..ngeriii permainan nya..mafia di singapore jadi broker( calo) utk import ke Indonesia..
@ilhamnuansa9382,"logika bahlil ga jalan, sengaja biar bikin kaya mafia minya😂"
@alwaysepicapik,"wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta... ehhh sekarang abis semua dimana mana...
sekarang ane tau sebabnya 
etanol ternyata ngiket air jadi motor berebet... petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol.. 
ngaku rugi gaji selangit ditambah bonus aneh aneh😂"
@K47YTSUS7415Cc,"Bener kata si Bahlil, Nurut kita yg Salah. ( Dulu Para Pejabat jg bilang kek gitu, "" karena kita gak bisa mengelola, jadi seluruh SDA dr Sabang-Merauke  kita serahkan ke Asing biar dikelolah Oleh mereka "" 😂😂😂 32th berlalu & berlanjut sampe sekarang."
@ryanlfc7031,Kuliah nya di oslo jadi gableg 😂
@umarchatab6145,Logika ngibul
@wawaladangultom4196,Mukanya yang over capacity kelewat ganteng
@azam7079,Bahlilbahlil
@hendravideographer, @retnayuli  ke saya bang. nanti ta kirim ya
@krisalfarizi,LoL kau
@mobiltrukfiz3357,"Itu logika paling sederhana 😢, tapi kok ya berbelit-belit kek ijazah"
@mobiltrukfiz3357,"​ @mikeconroe3328 😂😂😂 njir Goblin, Orch-nya siapa dong?"
@JAMRUDFoodGame-q3z,"BAHASA TERMUL... shein kanan belok kiri..
Sok NKRI padahal paling GARONG.."
@MrDefour,"Lah saya baru mau komentar kayak begini, tp sudah ada yg komentar ginian duluan 😂"
@time_traveler85558,Emangnya goblin punya logika? 😂
@AntonBalangan,minyak ngantri di pom bensin 😂
@agussupriyadi4034,"Dia kira, dia yang paling pinter. Jadi bisa dikibulin...😅😅"
@Samsul08293,Garong berbulu mentri itu
@theresiasembiring4210,​ @shellarevi5876 mana berani wowok ngelawan si mulyono
@guz3108,​ @mikeconroe3328 😅😅😅 goblin
@gustamotto5948,maksud over kapasitas itu tangkinya sdh support banyak. malah over kapasitas tangkinya. masalah bukan di tangki kurang tapi produksi kurang. ini menteri keuangan kok sana sini maksa buang duit. kalau kelebihan mending bagi2 dah ke rakyat.
@farmduasatu9387,"Belajar dululah apa.itu over capacity,, jangan disamain dengan ever produksi, dan beljarlah berbaik sangka sama orang, kecuali  sudah terbiasa makan yg tidak halal maka penyakit hati sulit disembuhkan"
@yuukihighwizard9674,"Overcapacity tapi masyarakat ngantri, impor terus, tapi merugi 😂
jelas lah itu ladang korupsi si bahlil"
@salam_nyangkut.,🤣🤣
@ojolgaming9138,Bahlil dicopot saja gpp
@PutraDua-g9p,"​ @shellarevi5876 ketua partai besar, cukup beresiko klo diganti"
@devonrichs2333,"liat menteri titipan emg kesel bet ya, beda ma pak purbaya yang hanya berpatok ke presiden dan tanpa partai"
@kusada3035,Yang over capacity kayaknya rekening pribadi
@ekobudisantoso2840,Kalau bukan karena politik aku yakin pak Bahlil udah diganti yang lebih baik.
@KaryoAbg,Torennya yg kecil om
@punksaja301,PARAH EMANG NI MANUSIA
@ariyanto-wc2jc,Mau sampai kapan import BBM pak mentri?
@ipoenx7232,​ @NanikSuciowati kan titipan pakde....
@alfatihridho2672,Gak mau bangun kilang takut minyak melimpah rakyat makmur gak bisa impor lagi gak ada yg di korupsi
@Captain-America-Super,"​ @nathanwidhiarso8586 masalahnya politik balas Budi masih tetap berlaku, karena Bahlil jg ikut yg mendukung kemenangan Prabowo"
@Captain-America-Super,​ @shellarevi5876 tau politik balas Budi ?
@igitt2952,Over capacity knp msih impor?
@audricaewaldo3535,"Paling skemanya sama kek korupsi kemarin, di tumbun biar dijual keluar keuntungannya dibagi dah sama satu badan perusahaan."
@butin6666,bahluuuuuul akut
@suami_sah_eula,Ditambah kilang minya tiap tahun kebakar seolah kita dipaksa import minyak mentah
@rivoafriadis4278,"Lah, over tp pemgiriman bbm d prtmna cma sekali sehari, mlem udh hbis itu pertalite,"
@hdr725,Biar bisa korupsi selisih harga..paham dong
@adisuherman1735,Tempat makan MBG saja import dari cina. Supaya dapat cuan
@tonyrokuhachi5368,​ @shellarevi5876 mungkin karena ketum kuning ya
@Kururiha,Gk logis😂😊
@okiozil4526,Bahlil ganti aja lah
@abdulazizhartanto3597,IPK 2 ga usah ditanya lagi bener salahnya bro wkwk
@fchristono,"kl import itu ada fee dan komisi buat para calo atau mafianya kl produksi sendiri apa lg pake minyak mentah dalam negeri gak ada cuan buat pemilik tanker, calo, makelar, perantara dll nya
gitu aja koq repot.. udah terlalu kotor mendingan di bekukan / bubarkan bikin perusahaan baru dgn  org jg baru yg jujur"
@kickboxing2003J,Sibahlul😅
@SelimutTetangga-lm4pg,"Over capacity itu maksudnya nanti setelah menambah 7 kilang baru, tapi sampai sekarang 1 kilang pun nggak jadi2, gampangnya yg bilang over capacity itu lagi sedang bermimpi😂😂 bagimana mau over lah wong kilangnya aja nggak di tambah2"
@maguswibowo981," @mikeconroe3328  waduh mas, anda kok..he..he..he benar sih...."
@FAISALSEPTIAN-fy4pf," @cmorimoybalb  anjir goblin,gak smegol aja bang"
@dedyrushadmaka5137,Mereka hanya ingin mudah saja.
@rico8573,"Ya akan tetap impor, lha wong produksi minyak hny 600.000 barrel/hari"
@steviepramudita9239,"over capacity itu bukan over supply, mohon dibedakan 😂"
@imangfirman,Bener juga wkwk
@de.mozza0599,Sama2 acting 2.2nya
@louvelouve370,Pengkhianat
@AhmadRohman-p2i,Diawal liat tumbnail udah ngomong dalem ati gini juga
@ngeyelancook,"𝙼𝚊𝚗𝚝𝚊𝚙 𝚋𝚊𝚗𝚐 𝙋𝙐𝙍𝘽𝘼𝙔𝘼❤❤❤❤, 𝚔𝚎𝚓𝚊𝚛 𝚝𝚎𝚛𝚞𝚜 𝚢𝚊𝚗𝚐 𝘽𝙀𝙍𝙈𝘼𝙎𝘼𝙇𝘼𝙃 𝚜𝚊𝚖𝚙𝚊𝚒 𝚜𝚎𝚕𝚎𝚜𝚊𝚒 𝚙𝚊"
@Asfirkun,Dan kami lebih percaya pak purba dari pada pak bahlil 😅
@KicauManiaAR,"inilah tujuanya negeri ini merdeka... yg katanya pahlawan2 ,,,, inilaah tujuanyaa sebenarnyaaa...😂"
@SaifulBahri-n3m,"Pegawai bumn gk ada yg becus kerja,harusnya di pecat mereka.perusahaan rugi pegawai hidup nya mewah apa lagi dirut,gk bisa kerja rugi mulu"
@Duniaanak-007,Dia kira semua rakyat bisa di bohongi
@usmanshaggy72,​ @mikeconroe3328 Pak Purbaya belum terbukti baru menjabat bisa bgus bisa jg tidak tp klo yg satu sudah terbukti apa ???? 😅
@petealfaruq2702,"Mentri kita si mungil dr timur itu emang lucu2nya, dan yang LBH mgherankan kok bisa JD mntri?... Punya wibawa aj enggak, 300jt jiwa. Msh bnyak org pintar"
@abdusshomad6630,PERTAMINA MALING
@abdusshomad6630,Wajah tuyul mafia pertamina
@tuanil6551,"Jangan mau dibodohi sama goblin ini, yg dimaksud over capasity adalah apabila suatu benda melebihi batas maksimal yang seharusnya.
.
Berarti kan minyak kita banyak bahkan tumpah2 kalo over capasity, tapi kenyataannya kita itu selalu impor dari luar seakan kurang terus kebutuhan dalam negeri. Kan aneh?
.
Kemudian kalo emang over capasity kilang, ya bikin kilang baru supaya gak over, kelihatan banget malesnya. Gimana rakyat mau dapat lapangan pekerjaan kalo gamau bikin kilang tapi maunya impor terus?"
@ardastories2925,emang dia orang over pintarnya sampe ga bs di logika😂
@AlexSihite-i5f,​ @ahmadnasir7286 betul pak.solar dilampung barat 12rb eceran
@isninlubis7034,Orang paling bodoh pun harusnya punya logika seperti ini ya
@nursudi989,"sebenarnya bikin kilang juga rugi,impor juga rugi,eranya sdh berubah,cina morning menyebut 60℅ spbu di Tiongkok tutup,menurutku yg tepat pecat bahlil 😊😊😊😊😊"
@sekedarhiburan730,"Lahh bener, knp si Bahlil Mash impor? Jangan bodohin rakyat lahh, kami udah kenyang d kibulin, gak mau lagi tertipu omongan gak masuk akal😂"
@normansimorangkir13,"Over capacity maksudnya kilang yg ada sudah produski diatas kapasitasnya, tetapi masih dibawah/lebih kecil dari kebutuhan/konsumsi dalam negeri.

Tetapi SALAH BESARNYA adalah sudah begitu tdk mau juga aktifkan kilang yg nganggur atau membangun kilang baru.
Memang PARAAAAAHHHH!!!!😢😢😢😢"
@yuzarsif4457,Kalw gak impor .GK ada uang masukkk ke kantong..pribadi
@RojoRatu,😊 tambang BBM SERAHIN ke MALAYSIA SAJA .. NEGARA UNTUNG .. RAKYAT UNTUNG  BBM MURAH .. NO OPLOS
@EncepSuherlan-d6t,Muka nya serem
@x-chess,​ @roromera7685 rakyatnya juga sailing menghambat.. Jalan Raya juga Ada pemiliknya.. 😂
@abubakr535,​ @Masaddurenkepel mentri itu selali kontrak politik
@nuraidaaida-g6z,Singapura negara kecil aj bisa  bangun kilang
@sisipanbalaraja1798,Mentri merangkap mafia😂
@KhairapremierA1KhairapremierA1,Impor karena over capacity ? Kenapa ndak bangun kilang baru utk hindari impor kata pak purbaya. Pertanyaan yang masuk akal sekali
@mariatheresiadjiati3600,Meski buat kilang baru utk menutupi kebutuhan.bbm tapi harus diingat import crude oil/minyak mentah harus tetap import bung krn produksi minyak mentah hanya 500ribu barel/hari
@hikma1-v8m,Rakyat Indonesia siap perang membela jaga keselamatan pak Purbaya.
@SandjayaWamsa,Kelahiran Bogor di tanah PASUNDAN. pasti buat orang kepanasan dan pada panik. Maju Mentri Purbaya
@DennydenzPermana,Syaa Warga Banten siap turun gunung membela pak Purbaya.
@haysnairte4,Keren pak Purbaya berani
@zabriabubakar5982,Dulu pun kamu bilang yang sama buat Jokowi Sri Mulyani Nadiem 😂😂😂😂😂😂😂😂😂😂😂😂
@yukkepoin7200,"Mumpung lagi rame 
Mereka korupsi juga takdir loh 😂"
@Threehimovic,"ayo pak purbaya anda itu pro rakyat,bongkar esdm yg petinggi nya cekek wong cilik kayak bahlil😢"
@KELANACHANNELC,Sri Mul harusnya turun dari dulu
@AhyarMaryadi,"Kalimantan Barat hadir. 
Dan saya tetap bersama pak Purbaya."
@AhmadGanteng-y9c,mantap
@louvelouve370,Pengkhianat
@anakrimba4394,Betul bang. rakyat siap mengawal pa purbaya. demi kemakmuran rakyat lanjutkan pa purbaya
@aminrois8430,gas terus pak pur
@sunaryoh5942,Betul bro
@AvrahamBenYitzhak-s4v,seganlah bro sama singapura haha
@pesmobile-lh5fs,Penghianat bangsa harus dihukum
@demons_k,Mantap bg
@AyubSong123,Orang mau bangun kilang baru gimana wong tidak murah uangnya di korup makanya gx cukup mending import tapi jual mahal😂😂😂
@Aaaa1-71,pertamina nih sudah terkenal dengan mafia dan korupnya
@nazrielkautsar9250,Harus ada yg berani Bersih2 BUMN yg satu ini..
@akihikochannel108,"​ @AvrahamBenYitzhak-s4v negara gede, kok takut sama upil 😂"
@bpkrafinisabwi8957,Anda suka benar...❤
@ekoprematur258,"mereka impor pejabatnya dapat fee.
begitu liciknya singapura.
negara sekecil itu bisa kaya karena indonesia.
maklum indonesia penyumbang terbesar turis bagi singapura, sebagian besar kapal indonesia transit di singapura, barang2 mentah indonesia seperti CPO, karet, migas dsb diekspor ke singapura kemudian diolah di singapura, singapura juga negara penyimpan aset2 orang2 kaya di indonesia, singapura jadi negara asing investor terbesar proyek2 di indonesia selain china, singapura jagi tempat transit utama penerbangan indonesia.
kok bisa negara sebesar ini dipecundangi sama singapura."
@Kang_adeErha,Benrrrr mafia import
@yangpasti7319,Betul sekali
@erinnberlina4712,Dipecat saja pekerja rakyat yang selama ini bekerja merugikan rakyat masih banyak orang orang pintar yang akan bekerja
@erinnberlina4712,​ @pesmobile-lh5fs hukum rakyat lebih adil seadil-adilnya
@CepiCepi-q1b,Mafia kaya raya di singapore..mrk calo broker..
@EnyFarida-s3u,"Betul..
Ngk bisa nyolong..."
@sanyvideo9285,pecat Purbaya
@pencarikeadilan4287,Ayook kita serbu lagi rumah mafia minyak🎉🎉
@yogi.wisnuadi,Tiap tahun ada aja kilang yang diledakin sama mafia ini
@fchristono,cocok
@akrSaefullah,Gampang kok siapa yang calo impor yang sedang buron sekarang..cuan bagi-bagi  kepejanat
@dikaabriyan3026,Nanti v impornya hilang bro😂
@abdusshomad6630,"Banyak malingnya.
Terutama yang hobi menyakiti rakyat"
@nursudi989,"di negara lain suddh mulai tutup spbu , di cina 60℅ spbu sdh tutp,eranya sdh berubah ,menurutku bangun kilang juga rugi,import juga rugi 😊😊😊😊😊"
@picanical1701,"mereka tidak rugi apapun, tapi mereka tidak bisa ambil untung"
@DwiErAzhuCreator,​ @AvrahamBenYitzhak-s4v ngak heran Singapura maju pembangunannya ternyata yang buat bangun uang dari Indonesia 🤫
@Ramarama-yw4sj,Bener bro kl impor kan bisa korup wkwkekkkk
@SagalaRaja-p5g,Mana bisa..Uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan
@pekerjasangatkeras,Ganti pak archandra
@tonipongkoran9365,"Terlalu lama 2029, tinggal komitmen aja demo nepalkan golkar"
