author,comment,clean_comment,tokens,filtered_comment
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha,klo over seharusnya bisa eksport bbm dong hahaha,"['klo', 'over', 'seharusnya', 'bisa', 'eksport', 'bbm', 'dong', 'hahaha']",klo over eksport bbm hahaha
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂,anda percaya goblin atau orang teknis,"['anda', 'percaya', 'goblin', 'atau', 'orang', 'teknis']",percaya goblin orang teknis
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,over akting bukan over capacity oper oper terus gak ada goal rakyat kena finalti terus,"['over', 'akting', 'bukan', 'over', 'capacity', 'oper', 'oper', 'terus', 'gak', 'ada', 'goal', 'rakyat', 'kena', 'finalti', 'terus']",over akting over capacity oper oper gak goal rakyat kena finalti
@AnakSingkong-oi6gb,Muka tuyul .mafia,muka tuyul mafia,"['muka', 'tuyul', 'mafia']",muka tuyul mafia
@raismone217,Waduh lagu lama nih...otakx,waduh lagu lama nihotakx,"['waduh', 'lagu', 'lama', 'nihotakx']",lagu nihotakx
@masjovi,🤣,nan,[],nan
@shellarevi5876,Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener,"['bener', 'banget', 'heran', 'apa', 'sii', 'yg', 'buat', 'pak', 'prabowo', 'masih', 'mempertahankan', 'itu', 'org', 'padahal', 'banyak', 'orang', 'indonesia', 'yg', 'lebih', 'pinter', 'dan', 'yg', 'jelas', 'jujur', 'dan', 'mau', 'bekerja', 'bener']",bener banget heran sii yg prabowo mempertahankan org orang indonesia yg pinter yg jujur bener
@mbahjosss3836,Kl gak impor gakada lahanbasah gaes😅,kl gak impor gakada lahanbasah gaes,"['kl', 'gak', 'impor', 'gakada', 'lahanbasah', 'gaes']",kl gak impor gakada lahanbasah gaes
@AgusSalim-xn1ul,"​ @retnayuli Hampir semua polanya sama, ...",hampir semua polanya sama,"['hampir', 'semua', 'polanya', 'sama']",polanya
@nathanwidhiarso8586,"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.",sepertinya itu jurus strategi ri untuk melemahkan partai kuning maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas maju terus pak prabowo singkirkan antek partai yang merusak negeri ini,"['sepertinya', 'itu', 'jurus', 'strategi', 'ri', 'untuk', 'melemahkan', 'partai', 'kuning', 'maka', 'diangkatlah', 'menteri', 'keuangan', 'yang', 'punya', 'power', 'dan', 'kapabilitas', 'yang', 'pas', 'maju', 'terus', 'pak', 'prabowo', 'singkirkan', 'antek', 'partai', 'yang', 'merusak', 'negeri', 'ini']",jurus strategi ri melemahkan partai kuning diangkatlah menteri keuangan power kapabilitas pas maju prabowo singkirkan antek partai merusak negeri
@warbotaow8385,Asli bahlil harus diganti karna impor impor terus,asli bahlil harus diganti karna impor impor terus,"['asli', 'bahlil', 'harus', 'diganti', 'karna', 'impor', 'impor', 'terus']",asli bahlil diganti karna impor impor
@Pertamax93,"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂","menteri ini berfikir gak pakai logika
tpi pakai duit","['menteri', 'ini', 'berfikir', 'gak', 'pakai', 'logika', 'tpi', 'pakai', 'duit']",menteri berfikir gak pakai logika tpi pakai duit
@danangprabowo2741,​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...,terkadang masalah  itu tidak harus dihilangkanbiarkan tetap ada supaya bisa kita observasi cara kerjanya,"['terkadang', 'masalah', 'itu', 'tidak', 'harus', 'dihilangkanbiarkan', 'tetap', 'ada', 'supaya', 'bisa', 'kita', 'observasi', 'cara', 'kerjanya']",terkadang dihilangkanbiarkan observasi kerjanya
@roromera7685,Negara Indonesia g maju2 bukan dari Rakyatnya trnyata tp Pejabat Ny sndiri yg menghambat Negara Indonesia g Maju2 😮,negara indonesia g maju bukan dari rakyatnya trnyata tp pejabat ny sndiri yg menghambat negara indonesia g maju,"['negara', 'indonesia', 'g', 'maju', 'bukan', 'dari', 'rakyatnya', 'trnyata', 'tp', 'pejabat', 'ny', 'sndiri', 'yg', 'menghambat', 'negara', 'indonesia', 'g', 'maju']",negara indonesia g maju rakyatnya trnyata tp pejabat ny sndiri yg menghambat negara indonesia g maju
@upikharyanti7288,Karena Bahlil makelar importnya😂,karena bahlil makelar importnya,"['karena', 'bahlil', 'makelar', 'importnya']",bahlil makelar importnya
@jait227,"bahlil ASBUN,,",bahlil asbun,"['bahlil', 'asbun']",bahlil asbun
@nazmiyoug7407,Bahlil lg stand up 😂😂😂,bahlil lg stand up,"['bahlil', 'lg', 'stand', 'up']",bahlil lg stand up
@lakalakamnasi8432,Dukung Menkeu buat terobosan yg baru,dukung menkeu buat terobosan yg baru,"['dukung', 'menkeu', 'buat', 'terobosan', 'yg', 'baru']",dukung menkeu terobosan yg
@NanikSuciowati,Heran knpa menteri SEBODOH itu TDK DIRESUFLE oleh P Wowo,heran knpa menteri sebodoh itu tdk diresufle oleh p wowo,"['heran', 'knpa', 'menteri', 'sebodoh', 'itu', 'tdk', 'diresufle', 'oleh', 'p', 'wowo']",heran knpa menteri sebodoh tdk diresufle p wowo
@Wagiso-us2yn,ya mending dibuat bancakan duitnya daripada utk bikin kilang..,ya mending dibuat bancakan duitnya daripada utk bikin kilang,"['ya', 'mending', 'dibuat', 'bancakan', 'duitnya', 'daripada', 'utk', 'bikin', 'kilang']",ya mending bancakan duitnya utk bikin kilang
@Aku-kv3kb,Di dengkul😂😂😂,di dengkul,"['di', 'dengkul']",dengkul
@Aku-kv3kb,Tuyul mbah lil😂😂,tuyul mbah lil,"['tuyul', 'mbah', 'lil']",tuyul mbah lil
@hapsarinepramudyo4228,"Beli pertalite sore hari di.SPBU nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

Bener ngga sih kebijakan ini (pencerahaannya dong loer)","beli pertalite sore hari dispbu nihil kata petugas pertalite tersedia di pagi hari hingga siang  

bener ngga sih kebijakan ini pencerahaannya dong loer","['beli', 'pertalite', 'sore', 'hari', 'dispbu', 'nihil', 'kata', 'petugas', 'pertalite', 'tersedia', 'di', 'pagi', 'hari', 'hingga', 'siang', 'bener', 'ngga', 'sih', 'kebijakan', 'ini', 'pencerahaannya', 'dong', 'loer']",beli pertalite sore dispbu nihil petugas pertalite tersedia pagi siang bener ngga sih kebijakan pencerahaannya loer
@KarmanNoob,Makin aneh ajah penjelasan ESDM ini jadi bahan kecurigaan & tertawaan rakyat kecil😮,makin aneh ajah penjelasan esdm ini jadi bahan kecurigaan  tertawaan rakyat kecil,"['makin', 'aneh', 'ajah', 'penjelasan', 'esdm', 'ini', 'jadi', 'bahan', 'kecurigaan', 'tertawaan', 'rakyat', 'kecil']",aneh ajah penjelasan esdm bahan kecurigaan tertawaan rakyat
@RusdyBoy-k7w,"Saya heran orang  Jokowi ini  dari ijazah palsu  sampai kilang  Pertamina tidak berdasar data pakta   padahal baHlul  ini baru di ESDM   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok.",saya heran orang  jokowi ini  dari ijazah palsu  sampai kilang  pertamina tidak berdasar data pakta   padahal bahlul  ini baru di esdm   berapa bulan pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok,"['saya', 'heran', 'orang', 'jokowi', 'ini', 'dari', 'ijazah', 'palsu', 'sampai', 'kilang', 'pertamina', 'tidak', 'berdasar', 'data', 'pakta', 'padahal', 'bahlul', 'ini', 'baru', 'di', 'esdm', 'berapa', 'bulan', 'pak', 'purbaya', 'jujur', 'berkata', 'pakta', 'sesuwai', 'yg', 'di', 'sampaikan', 'pak', 'haok']",heran orang jokowi ijazah palsu kilang pertamina berdasar data pakta bahlul esdm purbaya jujur pakta sesuwai yg haok
@bajahitam5476,Dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.,dia pikir rakyat sekarang percaya apa ini  pak lil tidak semudah itu mau ngibulin rakyat,"['dia', 'pikir', 'rakyat', 'sekarang', 'percaya', 'apa', 'ini', 'pak', 'lil', 'tidak', 'semudah', 'itu', 'mau', 'ngibulin', 'rakyat']",pikir rakyat percaya lil semudah ngibulin rakyat
@biasmaylinka4234,​ @shellarevi5876  sepemikiran... kok masih di pertahankan,sepemikiran kok masih di pertahankan,"['sepemikiran', 'kok', 'masih', 'di', 'pertahankan']",sepemikiran pertahankan
@AsepSuryanto-zu2bp,Kalau over ngapain impor😅😅😅,kalau over ngapain impor,"['kalau', 'over', 'ngapain', 'impor']",over ngapain impor
@DSA_VLOG93,Pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂,pak masyarakat sudah cerdas sekarang hati hati dalam berstatment,"['pak', 'masyarakat', 'sudah', 'cerdas', 'sekarang', 'hati', 'hati', 'dalam', 'berstatment']",masyarakat cerdas hati hati berstatment
@cangkemrabies2008,tetep impor tadi crude oil bukan base oilnya,tetep impor tadi crude oil bukan base oilnya,"['tetep', 'impor', 'tadi', 'crude', 'oil', 'bukan', 'base', 'oilnya']",tetep impor crude oil base oilnya
@jefryjong4750,"😂😂😂😂, itulah kadang pejabat Konoha anggap rakyatnya ginlok..dan mudah dibohongi😢",itulah kadang pejabat konoha anggap rakyatnya ginlokdan mudah dibohongi,"['itulah', 'kadang', 'pejabat', 'konoha', 'anggap', 'rakyatnya', 'ginlokdan', 'mudah', 'dibohongi']",kadang pejabat konoha anggap rakyatnya ginlokdan mudah dibohongi
@alofficial205,"Berharap Prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,Krn kl TDK secepatnya pecat yg ada Prabowo digulung sama anggota geng Solo!!!",berharap prabowo segera pecat menterinya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyatkrn kl tdk secepatnya pecat yg ada prabowo digulung sama anggota geng solo,"['berharap', 'prabowo', 'segera', 'pecat', 'menterinya', 'titipannya', 'geng', 'solo', 'yg', 'kerjanya', 'pemeras', 'rakyat', 'dan', 'korupsi', 'kekayaan', 'alam', 'serta', 'maling', 'duit', 'rakyatkrn', 'kl', 'tdk', 'secepatnya', 'pecat', 'yg', 'ada', 'prabowo', 'digulung', 'sama', 'anggota', 'geng', 'solo']",berharap prabowo pecat menterinya titipannya geng solo yg kerjanya pemeras rakyat korupsi kekayaan alam maling duit rakyatkrn kl tdk secepatnya pecat yg prabowo digulung anggota geng solo
@satisfied_dany,Minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti Singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi Amerika biar dapat harga murah.. sisa subsidi bisa Mereka caplok,minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti singapura biar bisa dimark up harganya atau ambil dari negara yg disanksi amerika biar dapat harga murah sisa subsidi bisa mereka caplok,"['minyak', 'dari', 'kilang', 'mereka', 'ekspor', 'dan', 'kita', 'impor', 'minyak', 'ke', 'negara', 'seperti', 'singapura', 'biar', 'bisa', 'dimark', 'up', 'harganya', 'atau', 'ambil', 'dari', 'negara', 'yg', 'disanksi', 'amerika', 'biar', 'dapat', 'harga', 'murah', 'sisa', 'subsidi', 'bisa', 'mereka', 'caplok']",minyak kilang ekspor impor minyak negara singapura biar dimark up harganya ambil negara yg disanksi amerika biar harga murah sisa subsidi caplok
@kcbelilas,"over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak",over capacity riau minyak diesel aja susah pdhl atas baah isia minyak,"['over', 'capacity', 'riau', 'minyak', 'diesel', 'aja', 'susah', 'pdhl', 'atas', 'baah', 'isia', 'minyak']",over capacity riau minyak diesel aja susah pdhl baah isia minyak
@alitadnyana1218,CATAT PARTAINYA,catat partainya,"['catat', 'partainya']",catat partainya
@debujalanan7261,Jangan lupakan peran para WAKIL PARPOL yg   seharusnya mengawasi. Para WAKIL PARPOL sudah pasti kebagian UANG DIAM untuk pura-pura tidak tau.,jangan lupakan peran para wakil parpol yg   seharusnya mengawasi para wakil parpol sudah pasti kebagian uang diam untuk purapura tidak tau,"['jangan', 'lupakan', 'peran', 'para', 'wakil', 'parpol', 'yg', 'seharusnya', 'mengawasi', 'para', 'wakil', 'parpol', 'sudah', 'pasti', 'kebagian', 'uang', 'diam', 'untuk', 'purapura', 'tidak', 'tau']",lupakan peran wakil parpol yg mengawasi wakil parpol kebagian uang diam purapura tau
@allenz-zy3,Menteri kebanggaan jokontolll😅😅😅😅,menteri kebanggaan jokontolll,"['menteri', 'kebanggaan', 'jokontolll']",menteri kebanggaan jokontolll
@bakasboy4792,😂,nan,[],nan
@ramasaid9915,Tuyul berkulit coklat,tuyul berkulit coklat,"['tuyul', 'berkulit', 'coklat']",tuyul berkulit coklat
@rabbanichannel2461,Ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?,ayo tebak siapa kira mentri sebentar lagi yg akan ditangkap kpk,"['ayo', 'tebak', 'siapa', 'kira', 'mentri', 'sebentar', 'lagi', 'yg', 'akan', 'ditangkap', 'kpk']",ayo tebak mentri sebentar yg ditangkap kpk
@ajidabumumtaz8849,Klo termul percaya ajah krn gk bisa rasional. Surplus ko malah import,klo termul percaya ajah krn gk bisa rasional surplus ko malah import,"['klo', 'termul', 'percaya', 'ajah', 'krn', 'gk', 'bisa', 'rasional', 'surplus', 'ko', 'malah', 'import']",klo termul percaya ajah krn gk rasional surplus ko import
@dreimarsch388,"Mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, Taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 Itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri.",mereka kerja sama sama pihak luar jual keluar lalu di impor balik taulah itu hanya permainan di kepala mereka hanya keuntungan pribadi itu hanya pembelian hantu bro itu hanya permainan itu barang milik pertamina sendiri,"['mereka', 'kerja', 'sama', 'sama', 'pihak', 'luar', 'jual', 'keluar', 'lalu', 'di', 'impor', 'balik', 'taulah', 'itu', 'hanya', 'permainan', 'di', 'kepala', 'mereka', 'hanya', 'keuntungan', 'pribadi', 'itu', 'hanya', 'pembelian', 'hantu', 'bro', 'itu', 'hanya', 'permainan', 'itu', 'barang', 'milik', 'pertamina', 'sendiri']",kerja jual impor taulah permainan kepala keuntungan pribadi pembelian hantu bro permainan barang milik pertamina
@NurfinLamuda,​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii,klo orang teknis justru nyurinya lebih rapiiii,"['klo', 'orang', 'teknis', 'justru', 'nyurinya', 'lebih', 'rapiiii']",klo orang teknis nyurinya rapiiii
@abdulrasid3360,Menteri ESDM+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂,menteri esdm pejabatnyapertaminapejabatnya under capacity semua,"['menteri', 'esdm', 'pejabatnyapertaminapejabatnya', 'under', 'capacity', 'semua']",menteri esdm pejabatnyapertaminapejabatnya under capacity
@adammarcelo0911,Knp presiden masih mempertahankan.....ada apa yaa ?😂,knp presiden masih mempertahankanada apa yaa,"['knp', 'presiden', 'masih', 'mempertahankanada', 'apa', 'yaa']",knp presiden mempertahankanada yaa
@kaoskaosdistro,"Kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
Makanya import mulu","kilangnya penuh maksudnya cm dpt juta pdhl sehari butuh 
makanya import mulu","['kilangnya', 'penuh', 'maksudnya', 'cm', 'dpt', 'juta', 'pdhl', 'sehari', 'butuh', 'makanya', 'import', 'mulu']",kilangnya penuh maksudnya cm dpt juta pdhl sehari butuh import mulu
@suprianto9444,​ @NurfinLamuda kocak lu belain bahlil😂😂,kocak lu belain bahlil,"['kocak', 'lu', 'belain', 'bahlil']",kocak lu belain bahlil
