comment,model_label_initial,model_confidence_initial,llm_label,model_label_final,model_confidence_final
"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉",negatif,0.35810212950921827,netral,negatif,0.36347827901173846
"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!",negatif,0.5845800658107949,negatif,negatif,0.5666314329112397
Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,positif,0.3835406555494099,netral,positif,0.38960495576167237
"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...",negatif,0.35509941811162815,netral,negatif,0.35208584102336443
gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,negatif,0.4333900397609159,netral,negatif,0.453943781675211
"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?",netral,0.3684959217341202,negatif,netral,0.34354733543863253
Antrian di SPBU Ngantri 😂,netral,0.42073795750016035,netral,netral,0.3989806939595649
klo over seharusnya bisa eksport bbm dong hahaha,netral,0.3430930540232907,netral,negatif,0.3509465576769585
Anda percaya goblin atau orang teknis 😂,positif,0.43327374791654766,netral,positif,0.4386936760091908
Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,positif,0.4516046950736335,negatif,positif,0.46417228781349557
Muka tuyul .mafia,negatif,0.35998411954887255,netral,positif,0.36060543282756047
Waduh lagu lama nih...otakx,netral,0.3518518518518519,netral,netral,0.3492647058823529
🤣,netral,0.3518518518518519,netral,netral,0.3492647058823529
Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,positif,0.46480781470359783,netral,positif,0.4805539159610166
Kl gak impor gakada lahanbasah gaes😅,netral,0.41538811097771033,negatif,netral,0.3999955663334997
"​ @retnayuli Hampir semua polanya sama, ...",positif,0.37944656986508146,netral,positif,0.36543912533434036
"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.",positif,0.4259329443848137,netral,positif,0.5006568560289447
Asli bahlil harus diganti karna impor impor terus,netral,0.3939332887327846,netral,netral,0.3598351377584939
"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂",negatif,0.40170237798670744,negatif,negatif,0.36632233022647426
​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...,positif,0.4103286861689656,negatif,positif,0.36805755205476703
Negara Indonesia g maju2 bukan dari Rakyatnya trnyata tp Pejabat Ny sndiri yg menghambat Negara Indonesia g Maju2 😮,positif,0.3860470023357718,netral,positif,0.4316524272590367
Karena Bahlil makelar importnya😂,negatif,0.38439709971744884,netral,negatif,0.40925229936686247
"bahlil ASBUN,,",negatif,0.3901470876276364,netral,negatif,0.403895470295338
Bahlil lg stand up 😂😂😂,negatif,0.3901470876276364,netral,negatif,0.403895470295338
Dukung Menkeu buat terobosan yg baru,positif,0.5058895359670927,netral,positif,0.5119399594969012
Heran knpa menteri SEBODOH itu TDK DIRESUFLE oleh P Wowo,netral,0.35460163366381003,netral,positif,0.35861191775514356
ya mending dibuat bancakan duitnya daripada utk bikin kilang..,positif,0.4007463226219586,netral,positif,0.39045340011524954
Di dengkul😂😂😂,positif,0.376067024075087,netral,positif,0.3762200722703978
Tuyul mbah lil😂😂,netral,0.3518518518518519,netral,netral,0.3492647058823529
"Beli pertalite sore hari di.SPBU nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

Bener ngga sih kebijakan ini (pencerahaannya dong loer)",netral,0.36185997764766387,netral,netral,0.3599790456450786
Makin aneh ajah penjelasan ESDM ini jadi bahan kecurigaan & tertawaan rakyat kecil😮,negatif,0.36938860141789087,netral,negatif,0.3726835716526892
"Saya heran orang  Jokowi ini  dari ijazah palsu  sampai kilang  Pertamina tidak berdasar data pakta   padahal baHlul  ini baru di ESDM   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok.",positif,0.34556224307903327,negatif,negatif,0.4807651584329411
Dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.,positif,0.4791770369405494,negatif,positif,0.465216497345299
​ @shellarevi5876  sepemikiran... kok masih di pertahankan,netral,0.3394010368215503,netral,negatif,0.35659157309706835
Kalau over ngapain impor😅😅😅,netral,0.3843619646380481,netral,netral,0.3750609795317963
Pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂,positif,0.4172569526354478,netral,positif,0.4469408661960518
tetep impor tadi crude oil bukan base oilnya,netral,0.40855374809242123,netral,netral,0.39153736264357764
"😂😂😂😂, itulah kadang pejabat Konoha anggap rakyatnya ginlok..dan mudah dibohongi😢",negatif,0.6130125555505427,netral,negatif,0.6123160643169894
"Berharap Prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,Krn kl TDK secepatnya pecat yg ada Prabowo digulung sama anggota geng Solo!!!",positif,0.4673745766223756,netral,positif,0.47889760251388847
Minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti Singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi Amerika biar dapat harga murah.. sisa subsidi bisa Mereka caplok,positif,0.35185880164498745,netral,positif,0.43495573022784545
"over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak",netral,0.36796976846387663,netral,netral,0.3541345950802302
CATAT PARTAINYA,netral,0.3518518518518519,netral,netral,0.3492647058823529
Jangan lupakan peran para WAKIL PARPOL yg   seharusnya mengawasi. Para WAKIL PARPOL sudah pasti kebagian UANG DIAM untuk pura-pura tidak tau.,netral,0.3510454327442813,negatif,positif,0.3450650005015364
Menteri kebanggaan jokontolll😅😅😅😅,netral,0.3734845817168121,netral,positif,0.3429784800542409
😂,netral,0.3518518518518519,netral,netral,0.3492647058823529
Tuyul berkulit coklat,netral,0.3518518518518519,netral,netral,0.3492647058823529
Ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?,negatif,0.373190980479451,netral,negatif,0.3659413006958217
Klo termul percaya ajah krn gk bisa rasional. Surplus ko malah import,positif,0.3470421319289214,netral,positif,0.3498883881047738
"Mereka kerja sama, sama pihak luar, jual keluar lalu di impor balik, Taulah itu hanya permainan, di kepala mereka hanya keuntungan pribadi.🤣🤣🤣 Itu hanya pembelian hantu bro, itu hanya permainan, itu barang milik pertamina sendiri.",positif,0.36778308997911957,negatif,positif,0.37558605630018976
​ @mikeconroe3328 klo orang teknis justru nyurinya lebih rapiiii,netral,0.3776749707513383,netral,netral,0.35485081016831704
Menteri ESDM+ pejabat²nya+pertamina+pejabat²nya under capacity semua😂😂😂😂😂,positif,0.3438567778375583,netral,positif,0.3702729048682164
Knp presiden masih mempertahankan.....ada apa yaa ?😂,negatif,0.37530758804008685,netral,negatif,0.40693951535927225
"Kilangnya penuh maksudnya, cm dpt 1.1juta, pdhl sehari butuh 1.6
Makanya import mulu",netral,0.4189820823767052,netral,netral,0.4147987263165116
​ @NurfinLamuda kocak lu belain bahlil😂😂,negatif,0.3901470876276364,netral,negatif,0.403895470295338
"Memang overcapacity, tp mayoritas kilang teknologi jadul, jadi udah ga bisa produksi bbm berkualitas tinggi, otomatis impor ke singapua yg kilangnya lebih modern. Harusnya upgrade kilang",netral,0.5418494648033849,netral,netral,0.5555891944426437
"cuan mereka dari impor bang, jadi gamau nambah kilang wkwkwk",negatif,0.5239941897617783,netral,negatif,0.5147752513502759
Teruntuk kalimantan barat antri solar sudh makanan tiap hri selama 7-8 thn,positif,0.3453123214893457,netral,netral,0.3430734217317301
Dulu boneka sengkunl ada jokow sekarang ada plcoLo,positif,0.3829932546807441,netral,netral,0.38035982646783706
Goblin beraksi 😅,netral,0.3518518518518519,netral,netral,0.3492647058823529
Mafianya parpol itu. Bagi2 cuan...,negatif,0.38242321172830646,netral,negatif,0.3757326211968069
Itu tangan colek siapa..?,netral,0.3689190452543708,netral,netral,0.3781087948573177
"​ @shellarevi5876 
Bahlil ini Ketua Umum Golkar. Megawati nya Golkar lah.",negatif,0.4251397130054213,netral,negatif,0.46071996159036643
"​ @nathanwidhiarso8586 
Mana mungkin ngelemahin partai kuning. Bu Tatik Suharto  itu dari partai apa emangnya?",netral,0.3670215793863421,netral,negatif,0.37894053943523537
"Kalau over kapasitas, mestinya bisa ekspor,
Tapi malah impor dngn alasan over demand

Lah kalau kek gitu over kapasitasnya bisa ditanggulangi dengan menambah unit pengolahan dong",negatif,0.3502073308523001,netral,positif,0.34801553999526397
otak pejabatnya bro yg over😂,positif,0.38686076922115803,netral,positif,0.38312710532045496
Jelas ini mah nongol tiap hari,negatif,0.4296381735257891,netral,negatif,0.42702297554394186
Betul,positif,0.6281473708131234,netral,positif,0.622001985625428
Shell aja kosong kok bilang overcapacity batukmu kuwi,netral,0.352446144752151,netral,netral,0.3568522453168154
 @shellarevi5876 orangnya siapa dia…ga berani presidennya,negatif,0.3689644269137353,netral,negatif,0.37164410440539825
"Anjir, gua tiap mau beli dexlite di SPBU langganan,selalu kosong.
Diancok, mana udah jauh juah ke SPBU , eh kosong Mulu.",netral,0.4236523697805757,netral,netral,0.4017783346392523
Sudah beberapa ini hari di kota timika BBM langka. Antrian semua SPBU sangat panjang  skrng per tgl 08 Oktober 2025,netral,0.3755815674524467,netral,netral,0.36613298045450665
"Bahlil genk solo paling vokal di pemerintah, sayang nya dia ketua partai Golkar",negatif,0.3909563207841799,netral,negatif,0.4554004367618549
"Overcapacity tapi impor masih tinggi, masih banyak ? Ini biasa mikir tidak ya sebelum bicara 🤔",negatif,0.5687473880882611,negatif,negatif,0.5727186366578734
Ga ada dia ga bs jd pahlawan di siang bolong​ dong si wowo🤣 @shellarevi5876 ,positif,0.37800697256838994,netral,positif,0.3503089568218294
"Yaitu dia, banyak orang o'on & korup di pertama, blm lagi kualitas BBM-nya.
Dengerin tuuhh.....wahai Pertamina apa yg disampaikan oleh Menkeu-Purbaya.
Beliau bkn buzzer dan bukan politikus vs Bahlil.
Lihat aja faktanya.
Jangan muter2 aja Lil.",negatif,0.3475586114126082,netral,negatif,0.3575926497773421
Dan harusnya juga murah kok mahal dan terus naik😂,positif,0.43484960207417833,netral,positif,0.4329126208129995
Sebenarnya setiap hari kekayaan kita di rampok tapi kita diam saja😢😢😢,positif,0.3806366550276926,netral,positif,0.3761660479670321
Namanya juga BAHLUL,positif,0.35388633516979456,netral,negatif,0.37148192803492913
Mentri titipan genk oslo,positif,0.45463294298205703,netral,positif,0.4649172137284938
Goblin banyak bohong nya,negatif,0.41279984660085617,netral,negatif,0.4136955798440839
BUMN tuh gak perlu untung asal bisa memberikan barang komoditas yg terjangkau buat rakyat. Udah bener shell dkk bisa ambil import langsung dari luar tanpa lewat kilang pertamina biar kompetisi harga Jalan,positif,0.36715593032136856,negatif,positif,0.4285314674369608
"kayaknya ada kontrak politik sehingga tidak bisa lgsg main pecat, atau ini memang strategi Pbowo untuk memperlihatkan kinerja Bahlil sehingga terpojok. Pbowo terlihat sudah mulai menekan Bahlil lewat menteri baru nya, pak Menkeu Purbaya. yg berani senggol2 berbagai pihak. Pbowo nampaknya tidak ingin pakai tangan langsung, tp pinjam tangan org lain. strategi sih ini KLO menurut saya.",netral,0.4797554554669945,negatif,netral,0.47543276184479166
ngomong sama tembok lil,netral,0.3409727710438122,netral,netral,0.3454381095870245
Mesti diganti bahlul biar menteri baru Purbaya jd sinkron demi kemajuan Indonesia🎉,positif,0.4044830595252617,netral,positif,0.5142722556520427
"Betul,mmg agak Laen ya bro",positif,0.3716127570417096,negatif,positif,0.3612066886637301
"Mentri Yang gini jangan di reshuffle tp di keluarkan dari kabinet,",positif,0.3954666441988577,netral,positif,0.42981977519317827
Over-capacity tapi banyak daerah yg susah minyak... Terlalu cerdas otaknya bah,negatif,0.34191430942952716,netral,positif,0.36939197659102624
"​ @cmorimoybalb emang kita eksport k singapura tp minyak mentahnya,nah kita belinya dr mereka yg udh mateng..hebat kan negara kita..😅😅",positif,0.3859097801172018,positif,positif,0.3791502771774029
​ @retnayuli seperti biasa menutupi kasus korpsi,negatif,0.3841730112153694,netral,negatif,0.38626893823295805
"​ @shellarevi5876 tahu apa yg terjadi pada bu SriMul, menkeu lama? Nah, itu cara dan strategi Presiden untuk mendepak menteri yg tidak kompeten, menteri mafia. Ingat, beliau mantan jenderal Kopassus. 😂 Tunggu saja finale 'konflik' kali ini.",netral,0.3491012091101145,negatif,negatif,0.35802234630576757
Dia kira masih jaman bapaknya 😂😂😂,negatif,0.37177673865347144,netral,negatif,0.3762347419028656
​ @mikeconroe3328 mukanya persis goblin tp item😂,netral,0.3450627175796099,netral,netral,0.3495084762148276
Tuyul hitam ya gitu lah bro,negatif,0.39239814460957023,netral,negatif,0.39644369389931006
PeA,netral,0.3518518518518519,netral,netral,0.3492647058823529
​ @Russianroulette-rl6yl hmmmm....kalo saya simak dari nada tulisannya sepertinya anda ternakan partai kuning juga nih.. tapi ingat.. segala kemungkinan bisa terjadi.,positif,0.37404295267664267,netral,positif,0.38575325478412975
Betull bikin emosi saja ...muka hitam itu lagi,positif,0.34308103282729546,netral,positif,0.34572368821183963
Emang Bahlil tuh ngga punya logika kan selama ini... Ngga diresuffle sih parah ni Bahlil... Golkar jadi posisi nggak masalah dah,negatif,0.43123045825796247,negatif,negatif,0.42043957570464313
MUAK LIAT SI BAHLUL INI,negatif,0.3850413667934964,netral,negatif,0.3802571922201242
Logika nya doktor UI 😅,netral,0.35866219388039244,netral,netral,0.36303060837082013
😂😂😂 iya bahlul mafia,positif,0.3479062523550286,netral,positif,0.35256533099969084
logikanya di dengkul....😂,negatif,0.42421546339732225,netral,negatif,0.4557055646103463
"Termul iti nggk masuk akal, logikanya sesat",negatif,0.5819874202556771,netral,negatif,0.5840497054932814
😂😂,netral,0.3518518518518519,netral,netral,0.3492647058823529
Itu dia ..kenapa harus impor?,netral,0.3632134883391181,netral,negatif,0.3599861541719175
"Indo cma produksi bahan mentah blum bisa nglola sendiri, sehingga indo expor bhan mentah,trus beli bahan jadi",negatif,0.3592051196807022,netral,negatif,0.35993472307343266
Percaya smeagol ???,positif,0.3955060068886421,netral,positif,0.389254111821221
"Jelas Dan terang, tinggal tangkap Pak Polisi & KPK, ini bisa buat titik masuk Pemberantasan Korupsi migas",positif,0.4712531082042014,netral,positif,0.5162169271311005
"Over capacity tapi solar antri, why",positif,0.34136823260442795,netral,netral,0.34459461142905656
"Bisa bangun ikn kok ga mau bangun kilang,mana hasil dari membangun ikn?",negatif,0.40310872492563776,netral,negatif,0.3933442020377215
Mafia kelompok,negatif,0.35998411954887255,netral,positif,0.36060543282756047
Byek sekelas Mentri kita jawabannya kayak anak smp yg masih butuh arahan . Mending jawaban anak SMA pak jelas. C....k,positif,0.5389195316513684,netral,positif,0.5491554224189429
Dan lucunya mafia nya partai politik kan 😅,negatif,0.3468757086019029,netral,netral,0.3476243181976784
"Selain impor, juga dioplos ethanol 🤣🤣",netral,0.4079294041574939,netral,negatif,0.5309427128143441
Mentri kaya gini aja seneng banget pak presidennya kaga ada keinginan dipecat yakk🤣🤣,positif,0.5136784182143103,netral,positif,0.5053899083551092
"Overcapacity tapi BBM dibanyak tempat langka dan sulit stoknya, tolonglah lah ini Bahlil peninggalan Jokowi hukum mati menyusahkan rakyat indonesia",negatif,0.5757494993089601,netral,negatif,0.5747689268112028
Paling2 nanti laporan nya juga masih eugi 😂😂😂😂😂,negatif,0.3468693167617572,netral,negatif,0.3969258787215497
"Suruh dia bilang ""Saya malas pak, enak import ga susah"" 🎉",positif,0.40982765052653797,netral,positif,0.44726197313910887
Ada udang di balik bakwan nih,positif,0.4372252686609748,netral,positif,0.40601060674402123
"bahlil tak ada logika, itulah mengapa perlunya IPK yang tinggi 😂😂",negatif,0.5864055097798677,netral,negatif,0.5867877763337993
Over kapasitas koq masih impor BBM?!,netral,0.38175509591839263,netral,netral,0.37733231645937637
Barusan sya mau komen gini. 🤣😂👍,netral,0.35421780884374066,netral,netral,0.3586135685019508
​ @AnakSingkong-oi6gb 😂,netral,0.3518518518518519,netral,netral,0.3492647058823529
Mungkin sudah kontrak seumur hidup dengan singapura… 🤣🤣🤣🤣,positif,0.3765183917179765,netral,positif,0.36251107495551715
Mafia..takut kehilangan bisnis nya..ngeriii permainan nya..mafia di singapore jadi broker( calo) utk import ke Indonesia..,positif,0.3692221274899226,netral,positif,0.4083323884122068
"logika bahlil ga jalan, sengaja biar bikin kaya mafia minya😂",negatif,0.5698347661218561,netral,negatif,0.5654562006452344
"wkwkwk motor revo ane udah mulai enak tarikannya semenjak rutin pake bbm swasta... ehhh sekarang abis semua dimana mana...
sekarang ane tau sebabnya 
etanol ternyata ngiket air jadi motor berebet... petamono bukannya refleksi diri malah makin monopoli maksain swasta pake etanol.. 
ngaku rugi gaji selangit ditambah bonus aneh aneh😂",negatif,0.37140869777040997,negatif,negatif,0.3662216694406759
"Bener kata si Bahlil, Nurut kita yg Salah. ( Dulu Para Pejabat jg bilang kek gitu, "" karena kita gak bisa mengelola, jadi seluruh SDA dr Sabang-Merauke  kita serahkan ke Asing biar dikelolah Oleh mereka "" 😂😂😂 32th berlalu & berlanjut sampe sekarang.",negatif,0.36538292886228485,negatif,positif,0.3688458626424825
Kuliah nya di oslo jadi gableg 😂,negatif,0.3562184540004825,netral,negatif,0.38699549726009924
Logika ngibul,netral,0.3518518518518519,netral,netral,0.3492647058823529
Mukanya yang over capacity kelewat ganteng,positif,0.38169799623199946,netral,positif,0.3531813594330878
Bahlilbahlil,netral,0.3518518518518519,netral,netral,0.3492647058823529
 @retnayuli  ke saya bang. nanti ta kirim ya,positif,0.3853135650334345,netral,positif,0.3630549812730259
LoL kau,netral,0.3518518518518519,netral,netral,0.3492647058823529
"Itu logika paling sederhana 😢, tapi kok ya berbelit-belit kek ijazah",negatif,0.3670576401693835,netral,negatif,0.3652968799959744
"​ @mikeconroe3328 😂😂😂 njir Goblin, Orch-nya siapa dong?",negatif,0.41174961373099617,netral,negatif,0.4128887078820825
"BAHASA TERMUL... shein kanan belok kiri..
Sok NKRI padahal paling GARONG..",negatif,0.4191780135928598,netral,negatif,0.42007768581567256
"Lah saya baru mau komentar kayak begini, tp sudah ada yg komentar ginian duluan 😂",positif,0.38462270474186505,netral,positif,0.3875680218212261
Emangnya goblin punya logika? 😂,netral,0.35421780884374066,netral,netral,0.3586135685019508
minyak ngantri di pom bensin 😂,netral,0.36992240020429223,netral,positif,0.36301506852992144
"Dia kira, dia yang paling pinter. Jadi bisa dikibulin...😅😅",negatif,0.5583777817317634,netral,negatif,0.5678161205372981
Garong berbulu mentri itu,positif,0.4387917674500503,netral,positif,0.4386032392939195
​ @shellarevi5876 mana berani wowok ngelawan si mulyono,positif,0.34971184292507734,netral,positif,0.34377216312565384
​ @mikeconroe3328 😅😅😅 goblin,netral,0.3518518518518519,netral,netral,0.3492647058823529
maksud over kapasitas itu tangkinya sdh support banyak. malah over kapasitas tangkinya. masalah bukan di tangki kurang tapi produksi kurang. ini menteri keuangan kok sana sini maksa buang duit. kalau kelebihan mending bagi2 dah ke rakyat.,positif,0.34895445689993376,netral,positif,0.38465754823350146
"Belajar dululah apa.itu over capacity,, jangan disamain dengan ever produksi, dan beljarlah berbaik sangka sama orang, kecuali  sudah terbiasa makan yg tidak halal maka penyakit hati sulit disembuhkan",positif,0.3985629180108883,negatif,positif,0.3883425236818173
"Overcapacity tapi masyarakat ngantri, impor terus, tapi merugi 😂
jelas lah itu ladang korupsi si bahlil",negatif,0.35278678999661284,netral,positif,0.3408262466510399
🤣🤣,netral,0.3518518518518519,netral,netral,0.3492647058823529
Bahlil dicopot saja gpp,negatif,0.37422473333231465,netral,negatif,0.3847505027295227
"​ @shellarevi5876 ketua partai besar, cukup beresiko klo diganti",netral,0.40524216818481335,netral,negatif,0.3833845483879696
"liat menteri titipan emg kesel bet ya, beda ma pak purbaya yang hanya berpatok ke presiden dan tanpa partai",netral,0.3535526717843528,netral,negatif,0.5229163579578489
Yang over capacity kayaknya rekening pribadi,positif,0.3558935878928699,negatif,negatif,0.3429799982781873
Kalau bukan karena politik aku yakin pak Bahlil udah diganti yang lebih baik.,netral,0.38631614760572014,netral,positif,0.39433641666289915
Torennya yg kecil om,positif,0.3400875922949493,netral,positif,0.3365575583619987
PARAH EMANG NI MANUSIA,netral,0.3518518518518519,netral,netral,0.3492647058823529
Mau sampai kapan import BBM pak mentri?,positif,0.4526279107763532,netral,positif,0.4835743763608957
​ @NanikSuciowati kan titipan pakde....,netral,0.3734845817168121,netral,netral,0.4581239395356605
Gak mau bangun kilang takut minyak melimpah rakyat makmur gak bisa impor lagi gak ada yg di korupsi,negatif,0.3638313944025845,negatif,positif,0.35352845073514744
"​ @nathanwidhiarso8586 masalahnya politik balas Budi masih tetap berlaku, karena Bahlil jg ikut yg mendukung kemenangan Prabowo",negatif,0.3740410605807585,netral,negatif,0.38189987361476213
​ @shellarevi5876 tau politik balas Budi ?,netral,0.3734845817168121,netral,netral,0.3569558137060014
Over capacity knp msih impor?,netral,0.37435902585652214,netral,netral,0.3782400950981992
"Paling skemanya sama kek korupsi kemarin, di tumbun biar dijual keluar keuntungannya dibagi dah sama satu badan perusahaan.",negatif,0.3838277179829475,negatif,negatif,0.371582232102975
bahluuuuuul akut,netral,0.3518518518518519,netral,netral,0.3492647058823529
Ditambah kilang minya tiap tahun kebakar seolah kita dipaksa import minyak mentah,negatif,0.4149775154296549,netral,negatif,0.3947966075237029
"Lah, over tp pemgiriman bbm d prtmna cma sekali sehari, mlem udh hbis itu pertalite,",negatif,0.3597526894983187,netral,negatif,0.3568463469195145
Biar bisa korupsi selisih harga..paham dong,negatif,0.3903210386257271,netral,positif,0.3650014156750001
Tempat makan MBG saja import dari cina. Supaya dapat cuan,netral,0.4167518369073592,netral,netral,0.4061452571238769
​ @shellarevi5876 mungkin karena ketum kuning ya,negatif,0.36897625438737003,netral,negatif,0.38374717072325304
Gk logis😂😊,netral,0.3518518518518519,netral,netral,0.3492647058823529
Bahlil ganti aja lah,negatif,0.42699345829853,netral,negatif,0.43731753246898386
IPK 2 ga usah ditanya lagi bener salahnya bro wkwk,negatif,0.3493281448506974,netral,negatif,0.34489018513159214
"kl import itu ada fee dan komisi buat para calo atau mafianya kl produksi sendiri apa lg pake minyak mentah dalam negeri gak ada cuan buat pemilik tanker, calo, makelar, perantara dll nya
gitu aja koq repot.. udah terlalu kotor mendingan di bekukan / bubarkan bikin perusahaan baru dgn  org jg baru yg jujur",positif,0.3980999408555448,negatif,positif,0.44893832187447996
Sibahlul😅,netral,0.3518518518518519,netral,netral,0.3492647058823529
"Over capacity itu maksudnya nanti setelah menambah 7 kilang baru, tapi sampai sekarang 1 kilang pun nggak jadi2, gampangnya yg bilang over capacity itu lagi sedang bermimpi😂😂 bagimana mau over lah wong kilangnya aja nggak di tambah2",negatif,0.34186778644333865,negatif,negatif,0.3379272327929811
" @mikeconroe3328  waduh mas, anda kok..he..he..he benar sih....",positif,0.3739067074489215,netral,positif,0.35982382481479297
" @cmorimoybalb  anjir goblin,gak smegol aja bang",positif,0.3438625554452834,negatif,netral,0.3392643319004955
Mereka hanya ingin mudah saja.,negatif,0.3689247079379589,netral,negatif,0.38978782555349306
"Ya akan tetap impor, lha wong produksi minyak hny 600.000 barrel/hari",netral,0.37657144015578303,netral,netral,0.3597752445954687
"over capacity itu bukan over supply, mohon dibedakan 😂",positif,0.3463153855511351,netral,netral,0.3445637013665049
Bener juga wkwk,positif,0.4326518142131193,netral,positif,0.3945344150900666
Sama2 acting 2.2nya,netral,0.3518518518518519,netral,netral,0.3492647058823529
Pengkhianat,netral,0.3518518518518519,netral,netral,0.3492647058823529
Diawal liat tumbnail udah ngomong dalem ati gini juga,positif,0.3416443263075521,netral,negatif,0.3668095081335753
"𝙼𝚊𝚗𝚝𝚊𝚙 𝚋𝚊𝚗𝚐 𝙋𝙐𝙍𝘽𝘼𝙔𝘼❤❤❤❤, 𝚔𝚎𝚓𝚊𝚛 𝚝𝚎𝚛𝚞𝚜 𝚢𝚊𝚗𝚐 𝘽𝙀𝙍𝙈𝘼𝙎𝘼𝙇𝘼𝙃 𝚜𝚊𝚖𝚙𝚊𝚒 𝚜𝚎𝚕𝚎𝚜𝚊𝚒 𝚙𝚊",netral,0.3518518518518519,netral,netral,0.3492647058823529
